min_raters,min_expert,noise,level,pool_iiic,pool_spike,n_questions,stop_reason,all_resolved,false_pass,false_pass_n,false_fail,false_fail_n,skill_err
1,0,A,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.35678592600552744
1,0,A,0.4,69806,19332,181,all_resolved,1,0,0,0,0,0.6731623899910819
1,0,A,0.8,69806,19332,215,all_resolved,1,0,0,0,6,0.24823098504829094
1,0,A,0.8,69806,19332,162,all_resolved,1,0,0,0,6,0.3796907182448151
1,0,A,0.8,69806,19332,148,all_resolved,1,0,0,0,6,0.44480737806733395
1,0,A,0.8,69806,19332,190,all_resolved,1,0,0,0,6,0.22897193755643838
1,0,A,0.8,69806,19332,152,all_resolved,1,0,0,0,6,0.41074333661988705
1,0,A,0.8,69806,19332,187,all_resolved,1,0,0,0,6,0.47207453549089645
1,0,A,0.8,69806,19332,141,all_resolved,1,0,0,0,6,0.3579906333172162
1,0,A,0.8,69806,19332,300,bank_exhausted,0,0,0,0,6,0.49600088745547455
1,0,A,0.8,69806,19332,192,all_resolved,1,0,0,0,6,0.35457643595347765
1,0,A,0.8,69806,19332,300,bank_exhausted,0,0,0,0,6,0.22363139045254957
1,0,A,1.2,69806,19332,140,all_resolved,1,0,0,0,7,0.14357087949187092
1,0,A,1.2,69806,19332,147,all_resolved,1,0,0,0,7,0.21126155224359028
1,0,A,1.2,69806,19332,151,all_resolved,1,0,0,0,7,0.10555839791676289
1,0,A,1.2,69806,19332,160,all_resolved,1,0,0,0,7,0.22710560734809726
1,0,A,1.2,69806,19332,140,all_resolved,1,0,0,0,7,0.25909078418015874
1,0,A,1.2,69806,19332,169,all_resolved,1,0,0,0,7,0.18171230758000143
1,0,A,1.2,69806,19332,151,all_resolved,1,0,0,0,7,0.17154873031326337
1,0,A,1.2,69806,19332,151,all_resolved,1,0,0,0,7,0.12594387721484868
1,0,A,1.2,69806,19332,148,all_resolved,1,0,0,0,7,0.24272621078609818
1,0,A,1.2,69806,19332,145,all_resolved,1,0,0,0,7,0.18338099234304647
1,0,B,-0.5,69806,19332,168,all_resolved,1,0,7,0,0,0.313801725797951
1,0,B,-0.5,69806,19332,161,all_resolved,1,1,7,0,0,0.47112310556107945
1,0,B,-0.5,69806,19332,300,bank_exhausted,0,0,7,0,0,0.47967565691956393
1,0,B,-0.5,69806,19332,159,all_resolved,1,0,7,0,0,0.286935430555877
1,0,B,-0.5,69806,19332,140,all_resolved,1,0,7,0,0,0.42434964186806207
1,0,B,-0.5,69806,19332,155,all_resolved,1,0,7,0,0,0.4682855246030479
1,0,B,-0.5,69806,19332,140,all_resolved,1,0,7,0,0,0.22858418308032766
1,0,B,-0.5,69806,19332,155,all_resolved,1,1,7,0,0,0.3953858313813204
1,0,B,-0.5,69806,19332,140,all_resolved,1,0,7,0,0,0.43821051262571065
1,0,B,-0.5,69806,19332,140,all_resolved,1,0,7,0,0,0.5628510809414694
1,0,B,0.0,69806,19332,170,all_active_resolved,0,0,6,0,0,0.3806138166627098
1,0,B,0.0,69806,19332,300,bank_exhausted,0,1,6,0,0,0.438072321117612
1,0,B,0.0,69806,19332,195,all_resolved,1,0,6,0,0,0.27258007725295846
1,0,B,0.0,69806,19332,300,bank_exhausted,0,1,6,0,0,0.5261492464387
1,0,B,0.0,69806,19332,238,all_resolved,1,1,6,0,0,0.3793527311452638
1,0,B,0.0,69806,19332,180,all_active_resolved,0,0,6,0,0,0.47532708239354404
1,0,B,0.0,69806,19332,300,bank_exhausted,0,0,6,0,0,0.36797775201101074
1,0,B,0.0,69806,19332,300,bank_exhausted,0,0,6,0,0,0.21523279550485233
1,0,B,0.0,69806,19332,150,all_resolved,1,0,6,0,0,0.3846579224324708
1,0,B,0.0,69806,19332,300,bank_exhausted,0,1,6,0,0,0.4325084557464552
1,0,B,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.34523001696685324
1,0,B,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.45062820519832003
1,0,B,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.35383074906571566
1,0,B,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.46947520874926096
1,0,B,0.4,69806,19332,241,all_active_resolved,0,0,0,0,0,0.47250889345523917
1,0,B,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.3509284012318342
1,0,B,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.2543852754298575
1,0,B,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.4293492206174837
1,0,B,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.36231513887318306
1,0,B,0.4,69806,19332,300,bank_exhausted,0,0,0,0,0,0.556879348740941
1,0,B,0.8,69806,19332,300,bank_exhausted,0,0,0,3,6,0.5411413261868615
1,0,B,0.8,69806,19332,300,bank_exhausted,0,0,0,1,6,0.3083547158520798
1,0,B,0.8,69806,19332,175,all_active_resolved,0,0,0,0,6,0.3462725458388714
1,0,B,0.8,69806,19332,300,bank_exhausted,0,0,0,0,6,0.3295469070158074
1,0,B,0.8,69806,19332,300,bank_exhausted,0,0,0,1,6,0.4203159384540068
1,0,B,0.8,69806,19332,280,all_active_resolved,0,0,0,1,6,0.3930437792319082
1,0,B,0.8,69806,19332,300,bank_exhausted,0,0,0,1,6,0.29927910731880064
1,0,B,0.8,69806,19332,173,all_active_resolved,0,0,0,0,6,0.4038650830728077
1,0,B,0.8,69806,19332,300,bank_exhausted,0,0,0,0,6,0.20550081009598362
1,0,B,0.8,69806,19332,300,bank_exhausted,0,0,0,1,6,0.3179079359068821
1,0,B,1.2,69806,19332,300,bank_exhausted,0,0,0,0,7,0.18659534370222772
1,0,B,1.2,69806,19332,300,bank_exhausted,0,0,0,0,7,0.3954145466920417
1,0,B,1.2,69806,19332,300,bank_exhausted,0,0,0,0,7,0.2658114057222488
1,0,B,1.2,69806,19332,300,bank_exhausted,0,0,0,1,7,0.48991590268247825
1,0,B,1.2,69806,19332,300,bank_exhausted,0,0,0,1,7,0.5581454608803442
1,0,B,1.2,69806,19332,300,bank_exhausted,0,0,0,0,7,0.3860725176961372
1,0,B,1.2,69806,19332,151,all_resolved,1,0,0,0,7,0.10988614001488618
1,0,B,1.2,69806,19332,300,bank_exhausted,0,0,0,0,7,0.35596532596363434
1,0,B,1.2,69806,19332,300,bank_exhausted,0,0,0,1,7,0.42492764040687325
1,0,B,1.2,69806,19332,300,bank_exhausted,0,0,0,0,7,0.2796657762020396
1,1,A,-0.5,69147,19332,300,bank_exhausted,0,0,7,0,0,0.5558497574050658
1,1,A,-0.5,69147,19332,194,all_active_resolved,0,0,7,0,0,0.37625436577253474
1,1,A,-0.5,69147,19332,140,all_resolved,1,0,7,0,0,0.3075045729433223
1,1,A,-0.5,69147,19332,171,all_active_resolved,0,0,7,0,0,0.4839779313477038
1,1,A,-0.5,69147,19332,140,all_resolved,1,0,7,0,0,0.23979823684439858
1,1,A,-0.5,69147,19332,144,all_resolved,1,0,7,0,0,0.3623953748241671
1,1,A,-0.5,69147,19332,300,bank_exhausted,0,0,7,0,0,0.5151356900703837
1,1,A,-0.5,69147,19332,140,all_resolved,1,0,7,0,0,0.3379765449821107
1,1,A,-0.5,69147,19332,166,all_resolved,1,0,7,0,0,0.31754303894766384
1,1,A,-0.5,69147,19332,155,all_resolved,1,0,7,0,0,0.24943850460231207
1,1,A,0.0,69147,19332,300,bank_exhausted,0,1,6,0,0,0.37874442511305706
1,1,A,0.0,69147,19332,300,bank_exhausted,0,2,6,0,0,0.5623135691399804
1,1,A,0.0,69147,19332,300,bank_exhausted,0,1,6,0,0,0.44018980758746723
1,1,A,0.0,69147,19332,300,bank_exhausted,0,0,6,0,0,0.46263847308129213
1,1,A,0.0,69147,19332,300,bank_exhausted,0,0,6,0,0,0.4798017532977803
1,1,A,0.0,69147,19332,300,bank_exhausted,0,0,6,0,0,0.26112425868538297
1,1,A,0.0,69147,19332,300,bank_exhausted,0,3,6,0,0,0.6936989003798223
1,1,A,0.0,69147,19332,191,all_resolved,1,3,6,0,0,0.5284198512228353
1,1,A,0.0,69147,19332,191,all_active_resolved,0,3,6,0,0,0.7940890686393675
1,1,A,0.0,69147,19332,300,bank_exhausted,0,2,6,0,0,0.5830713712264325
1,1,A,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.3061761158764901
1,1,A,0.4,69147,19332,181,all_resolved,1,0,0,0,0,0.6071889348423809
1,1,A,0.4,69147,19332,215,all_active_resolved,0,0,0,0,0,0.6909759878846097
1,1,A,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.48014419416807436
1,1,A,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.3460498459324491
1,1,A,0.4,69147,19332,208,all_resolved,1,0,0,0,0,0.6569399197248604
1,1,A,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.5691014595747554
1,1,A,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.47406502998589123
1,1,A,0.4,69147,19332,199,all_resolved,1,0,0,0,0,0.6076837740366552
1,1,A,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.5929786461556642
1,1,A,0.8,69147,19332,174,all_resolved,1,0,0,0,6,0.2829131891419664
1,1,A,0.8,69147,19332,221,all_resolved,1,0,0,0,6,0.3142370622008152
1,1,A,0.8,69147,19332,215,all_active_resolved,0,0,0,0,6,0.3105532315042606
1,1,A,0.8,69147,19332,160,all_resolved,1,0,0,0,6,0.49669971355149756
1,1,A,0.8,69147,19332,157,all_resolved,1,0,0,0,6,0.25038793902568834
1,1,A,0.8,69147,19332,198,all_active_resolved,0,0,0,0,6,0.4147908862054254
1,1,A,0.8,69147,19332,156,all_resolved,1,0,0,0,6,0.2404953740361742
1,1,A,0.8,69147,19332,300,bank_exhausted,0,0,0,0,6,0.36083105856728703
1,1,A,0.8,69147,19332,187,all_resolved,1,0,0,0,6,0.3616707373851465
1,1,A,0.8,69147,19332,187,all_resolved,1,0,0,0,6,0.4660967186789943
1,1,A,1.2,69147,19332,153,all_resolved,1,0,0,0,7,0.13955595362044929
1,1,A,1.2,69147,19332,151,all_resolved,1,0,0,0,7,0.14068399486203623
1,1,A,1.2,69147,19332,140,all_resolved,1,0,0,0,7,0.2330291612529986
1,1,A,1.2,69147,19332,236,all_resolved,1,0,0,0,7,0.1749646473995356
1,1,A,1.2,69147,19332,140,all_resolved,1,0,0,0,7,0.31816714681630387
1,1,A,1.2,69147,19332,140,all_resolved,1,0,0,0,7,0.21016446084702095
1,1,A,1.2,69147,19332,149,all_resolved,1,0,0,0,7,0.18546303858941235
1,1,A,1.2,69147,19332,162,all_resolved,1,0,0,0,7,0.27203364522795775
1,1,A,1.2,69147,19332,166,all_resolved,1,0,0,0,7,0.24590850417169968
1,1,A,1.2,69147,19332,176,all_resolved,1,0,0,0,7,0.12144063864895556
1,1,B,-0.5,69147,19332,140,all_resolved,1,0,7,0,0,0.43649273142767614
1,1,B,-0.5,69147,19332,140,all_resolved,1,0,7,0,0,0.27194736740136627
1,1,B,-0.5,69147,19332,141,all_resolved,1,0,7,0,0,0.42726082578238034
1,1,B,-0.5,69147,19332,300,bank_exhausted,0,0,7,0,0,0.3803108770756215
1,1,B,-0.5,69147,19332,191,all_resolved,1,0,7,0,0,0.3855194703546381
1,1,B,-0.5,69147,19332,173,all_resolved,1,0,7,0,0,0.27294168830012255
1,1,B,-0.5,69147,19332,140,all_resolved,1,0,7,0,0,0.34603056249747877
1,1,B,-0.5,69147,19332,142,all_resolved,1,1,7,0,0,0.38212328742478013
1,1,B,-0.5,69147,19332,300,bank_exhausted,0,0,7,0,0,0.4865305684450691
1,1,B,-0.5,69147,19332,140,all_resolved,1,0,7,0,0,0.24883057399195133
1,1,B,0.0,69147,19332,300,bank_exhausted,0,3,6,0,0,0.5696404628931024
1,1,B,0.0,69147,19332,300,bank_exhausted,0,1,6,0,0,0.39243999844007266
1,1,B,0.0,69147,19332,300,bank_exhausted,0,0,6,0,0,0.4400522798269239
1,1,B,0.0,69147,19332,300,bank_exhausted,0,0,6,0,0,0.10136182435529764
1,1,B,0.0,69147,19332,300,bank_exhausted,0,1,6,0,0,0.44195799137401437
1,1,B,0.0,69147,19332,198,all_active_resolved,0,0,6,0,0,0.4342442196523155
1,1,B,0.0,69147,19332,300,bank_exhausted,0,1,6,0,0,0.498021759077353
1,1,B,0.0,69147,19332,300,bank_exhausted,0,0,6,0,0,0.29411342514471084
1,1,B,0.0,69147,19332,171,all_resolved,1,1,6,0,0,0.30589502391519297
1,1,B,0.0,69147,19332,300,bank_exhausted,0,0,6,0,0,0.3368899054617245
1,1,B,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.45216452303485477
1,1,B,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.3419705239332313
1,1,B,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.5811421127583501
1,1,B,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.5194625275367475
1,1,B,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.3402966159826381
1,1,B,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.380494774447872
1,1,B,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.450532054137956
1,1,B,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.40709302568294137
1,1,B,0.4,69147,19332,147,all_resolved,1,0,0,0,0,0.7479149455744033
1,1,B,0.4,69147,19332,300,bank_exhausted,0,0,0,0,0,0.3853719919597262
1,1,B,0.8,69147,19332,300,bank_exhausted,0,0,0,0,6,0.2293885697959667
1,1,B,0.8,69147,19332,169,all_resolved,1,0,0,0,6,0.30092603198260753
1,1,B,0.8,69147,19332,195,all_resolved,1,0,0,1,6,0.2750778309470148
1,1,B,0.8,69147,19332,227,all_resolved,1,0,0,0,6,0.2848799025278109
1,1,B,0.8,69147,19332,300,bank_exhausted,0,0,0,0,6,0.21454236116555556
1,1,B,0.8,69147,19332,187,all_resolved,1,0,0,1,6,0.41903373961921686
1,1,B,0.8,69147,19332,163,all_resolved,1,0,0,1,6,0.38624435605292273
1,1,B,0.8,69147,19332,300,bank_exhausted,0,0,0,0,6,0.21988720776354417
1,1,B,0.8,69147,19332,300,bank_exhausted,0,0,0,0,6,0.349070894694058
1,1,B,0.8,69147,19332,178,all_resolved,1,0,0,0,6,0.29974567005236985
1,1,B,1.2,69147,19332,300,bank_exhausted,0,0,0,1,7,0.35258843327574046
1,1,B,1.2,69147,19332,198,all_active_resolved,0,0,0,0,7,0.21902219295560907
1,1,B,1.2,69147,19332,300,bank_exhausted,0,0,0,0,7,0.27339226404561723
1,1,B,1.2,69147,19332,163,all_resolved,1,0,0,0,7,0.1513017234523598
1,1,B,1.2,69147,19332,300,bank_exhausted,0,0,0,0,7,0.2388948024830537
1,1,B,1.2,69147,19332,300,bank_exhausted,0,0,0,1,7,0.5120241981249312
1,1,B,1.2,69147,19332,300,bank_exhausted,0,0,0,0,7,0.2616713352843399
1,1,B,1.2,69147,19332,231,all_active_resolved,0,0,0,0,7,0.22961736637941943
1,1,B,1.2,69147,19332,158,all_resolved,1,0,0,1,7,0.3433488420597332
1,1,B,1.2,69147,19332,300,bank_exhausted,0,0,0,0,7,0.3086377727805424
1,2,A,-0.5,57412,19332,148,all_resolved,1,0,7,0,0,0.16635660307819902
1,2,A,-0.5,57412,19332,141,all_resolved,1,0,7,0,0,0.25458455022914095
1,2,A,-0.5,57412,19332,243,all_resolved,1,0,7,0,0,0.2605597748827297
1,2,A,-0.5,57412,19332,300,bank_exhausted,0,0,7,0,0,0.2978070925683536
1,2,A,-0.5,57412,19332,252,all_resolved,1,0,7,0,0,0.3835191837397766
1,2,A,-0.5,57412,19332,157,all_resolved,1,0,7,0,0,0.31543294370405034
1,2,A,-0.5,57412,19332,140,all_resolved,1,0,7,0,0,0.3262945132438914
1,2,A,-0.5,57412,19332,170,all_active_resolved,0,0,7,0,0,0.542975310278426
1,2,A,-0.5,57412,19332,190,all_active_resolved,0,1,7,0,0,0.5301007609360889
1,2,A,-0.5,57412,19332,175,all_active_resolved,0,0,7,0,0,0.37403733327031696
1,2,A,0.0,57412,19332,300,bank_exhausted,0,2,6,0,0,0.48160569739876846
1,2,A,0.0,57412,19332,300,bank_exhausted,0,0,6,0,0,0.2836419078898558
1,2,A,0.0,57412,19332,300,bank_exhausted,0,0,6,0,0,0.33316523524773534
1,2,A,0.0,57412,19332,191,all_active_resolved,0,0,6,0,0,0.16943039503857885
1,2,A,0.0,57412,19332,300,bank_exhausted,0,0,6,0,0,0.4310186601010117
1,2,A,0.0,57412,19332,300,bank_exhausted,0,0,6,0,0,0.35196256628955186
1,2,A,0.0,57412,19332,300,bank_exhausted,0,3,6,0,0,0.6306919778275779
1,2,A,0.0,57412,19332,300,bank_exhausted,0,0,6,0,0,0.48517251320224997
1,2,A,0.0,57412,19332,170,all_active_resolved,0,0,6,0,0,0.4236992662575419
1,2,A,0.0,57412,19332,251,all_active_resolved,0,1,6,0,0,0.22801469951338713
1,2,A,0.4,57412,19332,300,bank_exhausted,0,0,0,0,0,0.38375634250109447
1,2,A,0.4,57412,19332,201,all_active_resolved,0,0,0,0,0,0.6390979114657389
1,2,A,0.4,57412,19332,211,all_resolved,1,0,0,0,0,0.691114290302588
1,2,A,0.4,57412,19332,300,bank_exhausted,0,0,0,0,0,0.5685944681493708
1,2,A,0.4,57412,19332,257,all_resolved,1,0,0,0,0,0.566165643001854
1,2,A,0.4,57412,19332,300,bank_exhausted,0,0,0,0,0,0.3927263165793237
1,2,A,0.4,57412,19332,300,bank_exhausted,0,0,0,0,0,0.6078967515487399
1,2,A,0.4,57412,19332,295,all_active_resolved,0,0,0,0,0,0.5451324693931466
1,2,A,0.4,57412,19332,185,all_resolved,1,0,0,0,0,0.7092744944130347
1,2,A,0.4,57412,19332,300,bank_exhausted,0,0,0,0,0,0.6352105070446018
1,2,A,0.8,57412,19332,168,all_resolved,1,0,0,0,6,0.2933652877428253
1,2,A,0.8,57412,19332,173,all_resolved,1,0,0,0,6,0.27144075290021646
1,2,A,0.8,57412,19332,154,all_resolved,1,0,0,0,6,0.2377967283208437
1,2,A,0.8,57412,19332,184,all_resolved,1,0,0,0,6,0.3563293400004016
1,2,A,0.8,57412,19332,300,bank_exhausted,0,0,0,0,6,0.27841373228330984
1,2,A,0.8,57412,19332,169,all_resolved,1,0,0,0,6,0.20285323215602843
1,2,A,0.8,57412,19332,145,all_resolved,1,0,0,0,6,0.2897913033771982
1,2,A,0.8,57412,19332,160,all_resolved,1,0,0,0,6,0.5391908299985557
1,2,A,0.8,57412,19332,159,all_resolved,1,0,0,1,6,0.47321972459994327
1,2,A,0.8,57412,19332,149,all_resolved,1,0,0,0,6,0.39566552129286225
1,2,A,1.2,57412,19332,172,all_resolved,1,0,0,0,7,0.20160254135857594
1,2,A,1.2,57412,19332,140,all_resolved,1,0,0,0,7,0.30530838284588696
1,2,A,1.2,57412,19332,142,all_resolved,1,0,0,0,7,0.23610669816630334
1,2,A,1.2,57412,19332,144,all_resolved,1,0,0,0,7,0.16246309312862503
1,2,A,1.2,57412,19332,140,all_resolved,1,0,0,0,7,0.20329459246426423
1,2,A,1.2,57412,19332,144,all_resolved,1,0,0,0,7,0.2967750887014701
1,2,A,1.2,57412,19332,142,all_resolved,1,0,0,0,7,0.25293252948264106
1,2,A,1.2,57412,19332,141,all_resolved,1,0,0,0,7,0.25773689439693376
1,2,A,1.2,57412,19332,140,all_resolved,1,0,0,0,7,0.2603959281100406
1,2,A,1.2,57412,19332,142,all_resolved,1,0,0,0,7,0.2570324129228772
1,2,B,-0.5,57412,19332,180,all_active_resolved,0,1,7,0,0,0.5657299150342419
1,2,B,-0.5,57412,19332,140,all_resolved,1,0,7,0,0,0.2532560549901441
1,2,B,-0.5,57412,19332,184,all_resolved,1,0,7,0,0,0.2966874510028612
1,2,B,-0.5,57412,19332,140,all_resolved,1,0,7,0,0,0.46722723978497677
1,2,B,-0.5,57412,19332,178,all_active_resolved,0,0,7,0,0,0.46844223129492274
1,2,B,-0.5,57412,19332,140,all_resolved,1,0,7,0,0,0.49398567570670254
1,2,B,-0.5,57412,19332,145,all_resolved,1,0,7,0,0,0.23949894151335988
1,2,B,-0.5,57412,19332,140,all_resolved,1,0,7,0,0,0.22862287429084688
1,2,B,-0.5,57412,19332,170,all_active_resolved,0,0,7,0,0,0.36934386442747436
1,2,B,-0.5,57412,19332,294,all_active_resolved,0,1,7,0,0,0.5199651996579279
1,2,B,0.0,57412,19332,165,all_resolved,1,2,6,0,0,0.41162121888160985
1,2,B,0.0,57412,19332,241,all_active_resolved,0,0,6,0,0,0.14441938144215846
1,2,B,0.0,57412,19332,170,all_active_resolved,0,0,6,0,0,0.35659807016538647
1,2,B,0.0,57412,19332,263,all_resolved,1,1,6,0,0,0.4130495079231799
1,2,B,0.0,57412,19332,300,bank_exhausted,0,0,6,0,0,0.3681553416530268
1,2,B,0.0,57412,19332,170,all_active_resolved,0,0,6,0,0,0.4041518103225485
1,2,B,0.0,57412,19332,140,all_resolved,1,0,6,0,0,0.4754936690217052
1,2,B,0.0,57412,19332,300,bank_exhausted,0,0,6,0,0,0.49156085695838087
1,2,B,0.0,57412,19332,160,all_resolved,1,0,6,0,0,0.20355801578629878
1,2,B,0.0,57412,19332,199,all_resolved,1,0,6,0,0,0.24436355596409381
1,2,B,0.4,57412,19332,242,all_active_resolved,0,0,0,0,0,0.5462577981746993
1,2,B,0.4,57412,19332,300,bank_exhausted,0,0,0,0,0,0.5031050914054598
1,2,B,0.4,57412,19332,300,bank_exhausted,0,0,0,0,0,0.44501798416964033
1,2,B,0.4,57412,19332,300,bank_exhausted,0,0,0,0,0,0.5321168191193997
1,2,B,0.4,57412,19332,300,bank_exhausted,0,0,0,0,0,0.4725741984711565
1,2,B,0.4,57412,19332,300,bank_exhausted,0,0,0,0,0,0.6395944774344765
1,2,B,0.4,57412,19332,225,all_resolved,1,0,0,0,0,0.6285269040199887
1,2,B,0.4,57412,19332,300,bank_exhausted,0,0,0,0,0,0.3487529610204384
1,2,B,0.4,57412,19332,272,all_resolved,1,0,0,0,0,0.5881282286124898
1,2,B,0.4,57412,19332,300,bank_exhausted,0,0,0,0,0,0.3323800794749539
1,2,B,0.8,57412,19332,300,bank_exhausted,0,0,0,0,6,0.19500471849580872
1,2,B,0.8,57412,19332,300,bank_exhausted,0,0,0,1,6,0.44709002621934835
1,2,B,0.8,57412,19332,271,all_resolved,1,0,0,0,6,0.2926219072700708
1,2,B,0.8,57412,19332,300,bank_exhausted,0,0,0,0,6,0.2772335043172236
1,2,B,0.8,57412,19332,300,bank_exhausted,0,0,0,0,6,0.22445077475347455
1,2,B,0.8,57412,19332,187,all_resolved,1,0,0,0,6,0.21601441809371133
1,2,B,0.8,57412,19332,300,bank_exhausted,0,0,0,0,6,0.3671080048478449
1,2,B,0.8,57412,19332,300,bank_exhausted,0,0,0,1,6,0.36541696879540414
1,2,B,0.8,57412,19332,300,bank_exhausted,0,0,0,0,6,0.32566838543925675
1,2,B,0.8,57412,19332,300,bank_exhausted,0,0,0,0,6,0.24607959063383875
1,2,B,1.2,57412,19332,300,bank_exhausted,0,0,0,0,7,0.2623148105894411
1,2,B,1.2,57412,19332,178,all_active_resolved,0,0,0,0,7,0.2678282363267567
1,2,B,1.2,57412,19332,201,all_resolved,1,0,0,0,7,0.21528192013676328
1,2,B,1.2,57412,19332,191,all_resolved,1,0,0,0,7,0.21413280283080752
1,2,B,1.2,57412,19332,244,all_active_resolved,0,0,0,0,7,0.23312594825383065
1,2,B,1.2,57412,19332,197,all_active_resolved,0,0,0,0,7,0.24058575086148365
1,2,B,1.2,57412,19332,300,bank_exhausted,0,0,0,0,7,0.24071286742930995
1,2,B,1.2,57412,19332,151,all_resolved,1,0,0,0,7,0.18230167141241305
1,2,B,1.2,57412,19332,300,bank_exhausted,0,0,0,0,7,0.2844699293884891
1,2,B,1.2,57412,19332,300,bank_exhausted,0,0,0,0,7,0.4390864411491902
1,3,A,-0.5,26907,19332,148,all_resolved,1,0,7,0,0,0.3949078804024465
1,3,A,-0.5,26907,19332,148,all_resolved,1,0,7,0,0,0.2614453723607571
1,3,A,-0.5,26907,19332,170,all_resolved,1,1,7,0,0,0.530686891422591
1,3,A,-0.5,26907,19332,300,bank_exhausted,0,0,7,0,0,0.47554428055568704
1,3,A,-0.5,26907,19332,140,all_resolved,1,0,7,0,0,0.4911114183647244
1,3,A,-0.5,26907,19332,146,all_resolved,1,0,7,0,0,0.3311127678592375
1,3,A,-0.5,26907,19332,169,all_resolved,1,0,7,0,0,0.3137653053636292
1,3,A,-0.5,26907,19332,152,all_resolved,1,0,7,0,0,0.12845535698618415
1,3,A,-0.5,26907,19332,172,all_active_resolved,0,0,7,0,0,0.3702994038761416
1,3,A,-0.5,26907,19332,214,all_active_resolved,0,1,7,0,0,0.5717202337094776
1,3,A,0.0,26907,19332,300,bank_exhausted,0,0,6,0,0,0.3772824032069519
1,3,A,0.0,26907,19332,265,all_active_resolved,0,2,6,0,0,0.5713604456159059
1,3,A,0.0,26907,19332,300,bank_exhausted,0,0,6,0,0,0.20209219958517202
