bank,noise,level,rep,pair_key,n_iiic,n_spike,n_questions,stop_reason,all_resolved,clear,is_borderline,false_pass,false_pass_n,false_fail,false_fail_n,skill_err
5,A,-0.5,47,A_l-0.5_n0047,360,60,140,all_resolved,1,1,0,0,7,0,0,0.22032103872843267
8,A,-0.5,47,A_l-0.5_n0047,360,60,141,all_resolved,1,1,0,0,7,0,0,0.26528486406471813
5,A,-0.5,48,A_l-0.5_n0048,360,60,196,all_resolved,1,1,0,1,7,0,0,0.49509210625797984
8,A,-0.5,48,A_l-0.5_n0048,360,60,143,all_resolved,1,1,0,0,7,0,0,0.3093957547997043
5,A,-0.5,49,A_l-0.5_n0049,360,60,146,all_resolved,1,1,0,0,7,0,0,0.27726542233145374
8,A,-0.5,49,A_l-0.5_n0049,360,60,188,all_resolved,1,1,0,0,7,0,0,0.4363030845917682
5,A,-0.5,50,A_l-0.5_n0050,360,60,140,all_resolved,1,1,0,0,7,0,0,0.32860107060689475
8,A,-0.5,50,A_l-0.5_n0050,360,60,154,all_resolved,1,1,0,0,7,0,0,0.28996601590778
5,A,-0.5,51,A_l-0.5_n0051,360,60,142,all_resolved,1,1,0,0,7,0,0,0.4060201716912714
8,A,-0.5,51,A_l-0.5_n0051,360,60,140,all_resolved,1,1,0,0,7,0,0,0.10247473902622242
5,A,-0.5,52,A_l-0.5_n0052,360,60,141,all_resolved,1,1,0,0,7,0,0,0.24043850265019187
8,A,-0.5,52,A_l-0.5_n0052,360,60,155,all_resolved,1,1,0,0,7,0,0,0.3608211337482743
5,A,-0.5,53,A_l-0.5_n0053,360,60,140,all_resolved,1,1,0,0,7,0,0,0.22325595793654093
8,A,-0.5,53,A_l-0.5_n0053,360,60,182,all_active_resolved,0,1,0,0,7,0,0,0.38368200130718527
5,A,-0.5,54,A_l-0.5_n0054,360,60,141,all_resolved,1,1,0,0,7,0,0,0.40103492212256525
8,A,-0.5,54,A_l-0.5_n0054,360,60,146,all_resolved,1,1,0,0,7,0,0,0.22968437386334667
5,A,-0.5,55,A_l-0.5_n0055,360,60,189,all_resolved,1,1,0,0,7,0,0,0.25210484793446664
8,A,-0.5,55,A_l-0.5_n0055,360,60,190,all_resolved,1,1,0,0,7,0,0,0.2576796968340219
5,A,-0.5,56,A_l-0.5_n0056,360,60,149,all_resolved,1,1,0,0,7,0,0,0.20938635991477123
8,A,-0.5,56,A_l-0.5_n0056,360,60,152,all_resolved,1,1,0,1,7,0,0,0.4371906445998524
5,A,-0.5,57,A_l-0.5_n0057,360,60,164,all_resolved,1,1,0,0,7,0,0,0.40318104439643676
8,A,-0.5,57,A_l-0.5_n0057,360,60,140,all_resolved,1,1,0,0,7,0,0,0.17183945708086285
5,A,-0.5,58,A_l-0.5_n0058,360,60,144,all_resolved,1,1,0,0,7,0,0,0.24077800407697567
8,A,-0.5,58,A_l-0.5_n0058,360,60,140,all_resolved,1,1,0,0,7,0,0,0.13659580145521522
5,A,-0.5,59,A_l-0.5_n0059,360,60,170,all_resolved,1,1,0,0,7,0,0,0.33574824635996564
8,A,-0.5,59,A_l-0.5_n0059,360,60,170,all_resolved,1,1,0,0,7,0,0,0.4740212900201398
5,A,-0.5,60,A_l-0.5_n0060,360,60,145,all_resolved,1,1,0,0,7,0,0,0.27248680531098385
8,A,-0.5,60,A_l-0.5_n0060,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3382942220236194
5,A,-0.5,61,A_l-0.5_n0061,360,60,142,all_resolved,1,1,0,0,7,0,0,0.3264580267029901
8,A,-0.5,61,A_l-0.5_n0061,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3177008825195403
5,A,-0.5,62,A_l-0.5_n0062,360,60,152,all_resolved,1,1,0,1,7,0,0,0.606693400952574
8,A,-0.5,62,A_l-0.5_n0062,360,60,142,all_resolved,1,1,0,0,7,0,0,0.28509722305812296
5,A,-0.5,63,A_l-0.5_n0063,360,60,149,all_resolved,1,1,0,1,7,0,0,0.34678000616976895
8,A,-0.5,63,A_l-0.5_n0063,360,60,155,all_resolved,1,1,0,1,7,0,0,0.5151607921098937
5,A,-0.5,64,A_l-0.5_n0064,360,60,180,all_active_resolved,0,1,0,0,7,0,0,0.4552384179941088
8,A,-0.5,64,A_l-0.5_n0064,360,60,224,all_active_resolved,0,1,0,0,7,0,0,0.48688344359040253
5,A,-0.5,65,A_l-0.5_n0065,360,60,140,all_resolved,1,1,0,0,7,0,0,0.2187654862046424
8,A,-0.5,65,A_l-0.5_n0065,360,60,162,all_resolved,1,1,0,0,7,0,0,0.3538237385456008
5,A,-0.5,66,A_l-0.5_n0066,360,60,140,all_resolved,1,1,0,0,7,0,0,0.2762830131225534
8,A,-0.5,66,A_l-0.5_n0066,360,60,142,all_resolved,1,1,0,0,7,0,0,0.27761537716701873
5,A,-0.5,67,A_l-0.5_n0067,360,60,140,all_resolved,1,1,0,0,7,0,0,0.34621156435646655
8,A,-0.5,67,A_l-0.5_n0067,360,60,143,all_resolved,1,1,0,0,7,0,0,0.28643215816022904
5,A,-0.5,68,A_l-0.5_n0068,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3667529185553992
8,A,-0.5,68,A_l-0.5_n0068,360,60,196,all_active_resolved,0,1,0,0,7,0,0,0.3169001085239949
5,A,-0.5,69,A_l-0.5_n0069,360,60,140,all_resolved,1,1,0,0,7,0,0,0.2884384968908354
8,A,-0.5,69,A_l-0.5_n0069,360,60,141,all_resolved,1,1,0,0,7,0,0,0.29700043760034844
5,A,-0.5,70,A_l-0.5_n0070,360,60,140,all_resolved,1,1,0,0,7,0,0,0.36108433143530255
8,A,-0.5,70,A_l-0.5_n0070,360,60,180,all_active_resolved,0,1,0,0,7,0,0,0.3720745615946978
5,A,-0.5,71,A_l-0.5_n0071,360,60,150,all_resolved,1,1,0,0,7,0,0,0.32913341368574545
8,A,-0.5,71,A_l-0.5_n0071,360,60,153,all_resolved,1,1,0,0,7,0,0,0.3038005963793388
5,A,-0.5,72,A_l-0.5_n0072,360,60,140,all_resolved,1,1,0,0,7,0,0,0.419956997482487
8,A,-0.5,72,A_l-0.5_n0072,360,60,168,all_resolved,1,1,0,0,7,0,0,0.5139182320994273
5,A,-0.5,73,A_l-0.5_n0073,360,60,181,all_active_resolved,0,1,0,0,7,0,0,0.36596326198643164
8,A,-0.5,73,A_l-0.5_n0073,360,60,213,all_active_resolved,0,1,0,0,7,0,0,0.2639642557811487
5,A,-0.5,74,A_l-0.5_n0074,360,60,140,all_resolved,1,1,0,0,7,0,0,0.33031740070832977
8,A,-0.5,74,A_l-0.5_n0074,360,60,145,all_resolved,1,1,0,1,7,0,0,0.28893641855142566
5,A,-0.5,75,A_l-0.5_n0075,360,60,140,all_resolved,1,1,0,0,7,0,0,0.21307788808627345
8,A,-0.5,75,A_l-0.5_n0075,360,60,148,all_resolved,1,1,0,0,7,0,0,0.22008927768236902
5,A,-0.5,76,A_l-0.5_n0076,360,60,171,all_resolved,1,1,0,0,7,0,0,0.2862172557566608
8,A,-0.5,76,A_l-0.5_n0076,360,60,140,all_resolved,1,1,0,0,7,0,0,0.08788922084834927
5,A,-0.5,77,A_l-0.5_n0077,360,60,153,all_resolved,1,1,0,0,7,0,0,0.30019764995565695
8,A,-0.5,77,A_l-0.5_n0077,360,60,144,all_resolved,1,1,0,0,7,0,0,0.3486160386248786
5,A,-0.5,78,A_l-0.5_n0078,360,60,140,all_resolved,1,1,0,0,7,0,0,0.23810718136372783
8,A,-0.5,78,A_l-0.5_n0078,360,60,157,all_resolved,1,1,0,0,7,0,0,0.3015518742134035
5,A,-0.5,79,A_l-0.5_n0079,360,60,195,all_active_resolved,0,1,0,0,7,0,0,0.3869386767745479
8,A,-0.5,79,A_l-0.5_n0079,360,60,160,all_resolved,1,1,0,0,7,0,0,0.3080541691530592
5,A,-0.5,80,A_l-0.5_n0080,360,60,180,all_resolved,1,1,0,1,7,0,0,0.5150307761384266
8,A,-0.5,80,A_l-0.5_n0080,360,60,141,all_resolved,1,1,0,0,7,0,0,0.3016007744065055
5,A,-0.5,81,A_l-0.5_n0081,360,60,142,all_resolved,1,1,0,0,7,0,0,0.2371165302280482
8,A,-0.5,81,A_l-0.5_n0081,360,60,152,all_resolved,1,1,0,0,7,0,0,0.28128735283840794
5,A,-0.5,82,A_l-0.5_n0082,360,60,141,all_resolved,1,1,0,0,7,0,0,0.11526614766329632
8,A,-0.5,82,A_l-0.5_n0082,360,60,147,all_resolved,1,1,0,0,7,0,0,0.3108664071600372
5,A,-0.5,83,A_l-0.5_n0083,360,60,140,all_resolved,1,1,0,0,7,0,0,0.2475131116967986
8,A,-0.5,83,A_l-0.5_n0083,360,60,147,all_resolved,1,1,0,0,7,0,0,0.2565590000391918
5,A,-0.5,84,A_l-0.5_n0084,360,60,231,all_active_resolved,0,1,0,1,7,0,0,0.5871568518503073
8,A,-0.5,84,A_l-0.5_n0084,360,60,144,all_resolved,1,1,0,0,7,0,0,0.38900317662436384
5,A,-0.5,85,A_l-0.5_n0085,360,60,182,all_active_resolved,0,1,0,0,7,0,0,0.3217475947679692
8,A,-0.5,85,A_l-0.5_n0085,360,60,160,all_resolved,1,1,0,0,7,0,0,0.2640231520900113
5,A,-0.5,86,A_l-0.5_n0086,360,60,140,all_resolved,1,1,0,0,7,0,0,0.2831247381610626
8,A,-0.5,86,A_l-0.5_n0086,360,60,176,all_resolved,1,1,0,0,7,0,0,0.3910267294482971
5,A,-0.5,87,A_l-0.5_n0087,360,60,141,all_resolved,1,1,0,0,7,0,0,0.32143633252089415
8,A,-0.5,87,A_l-0.5_n0087,360,60,150,all_resolved,1,1,0,0,7,0,0,0.22761285763248296
5,A,-0.5,88,A_l-0.5_n0088,360,60,145,all_resolved,1,1,0,0,7,0,0,0.31637626997516693
8,A,-0.5,88,A_l-0.5_n0088,360,60,144,all_resolved,1,1,0,0,7,0,0,0.2837539988073771
5,A,-0.5,89,A_l-0.5_n0089,360,60,143,all_resolved,1,1,0,0,7,0,0,0.17478567552133042
8,A,-0.5,89,A_l-0.5_n0089,360,60,149,all_resolved,1,1,0,0,7,0,0,0.2111750024784754
5,A,-0.5,90,A_l-0.5_n0090,360,60,195,all_active_resolved,0,1,0,0,7,0,0,0.31893250009794
8,A,-0.5,90,A_l-0.5_n0090,360,60,180,all_resolved,1,1,0,0,7,0,0,0.2400902171476442
5,A,-0.5,91,A_l-0.5_n0091,360,60,184,all_resolved,1,1,0,0,7,0,0,0.3218917340612637
8,A,-0.5,91,A_l-0.5_n0091,360,60,156,all_resolved,1,1,0,0,7,0,0,0.250466711966496
5,A,-0.5,92,A_l-0.5_n0092,360,60,180,all_active_resolved,0,1,0,0,7,0,0,0.4390659626663561
8,A,-0.5,92,A_l-0.5_n0092,360,60,180,all_active_resolved,0,1,0,0,7,0,0,0.3556173294703265
5,A,-0.5,93,A_l-0.5_n0093,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3195966620955936
8,A,-0.5,93,A_l-0.5_n0093,360,60,158,all_resolved,1,1,0,0,7,0,0,0.32288047697528127
5,A,-0.5,94,A_l-0.5_n0094,360,60,193,all_resolved,1,1,0,0,7,0,0,0.2947188485553185
8,A,-0.5,94,A_l-0.5_n0094,360,60,140,all_resolved,1,1,0,0,7,0,0,0.23490071557417705
5,A,-0.5,95,A_l-0.5_n0095,360,60,140,all_resolved,1,1,0,0,7,0,0,0.15127035560744068
8,A,-0.5,95,A_l-0.5_n0095,360,60,140,all_resolved,1,1,0,0,7,0,0,0.344305700733071
5,A,-0.5,96,A_l-0.5_n0096,360,60,140,all_resolved,1,1,0,0,7,0,0,0.24860824679502486
8,A,-0.5,96,A_l-0.5_n0096,360,60,140,all_resolved,1,1,0,0,7,0,0,0.2977556891296041
5,A,-0.5,97,A_l-0.5_n0097,360,60,140,all_resolved,1,1,0,0,7,0,0,0.34212289511033583
8,A,-0.5,97,A_l-0.5_n0097,360,60,140,all_resolved,1,1,0,0,7,0,0,0.44867262630168275
5,A,-0.5,98,A_l-0.5_n0098,360,60,180,all_active_resolved,0,1,0,0,7,0,0,0.41667915754369406
8,A,-0.5,98,A_l-0.5_n0098,360,60,145,all_resolved,1,1,0,0,7,0,0,0.22299474246258874
5,A,-0.5,99,A_l-0.5_n0099,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3239398379332485
8,A,-0.5,99,A_l-0.5_n0099,360,60,140,all_resolved,1,1,0,0,7,0,0,0.24185125171747454
5,A,-0.5,100,A_l-0.5_n0100,360,60,147,all_resolved,1,1,0,0,7,0,0,0.4032808048700152
8,A,-0.5,100,A_l-0.5_n0100,360,60,140,all_resolved,1,1,0,0,7,0,0,0.17704045276454689
5,A,-0.5,101,A_l-0.5_n0101,360,60,143,all_resolved,1,1,0,0,7,0,0,0.1469749251022508
8,A,-0.5,101,A_l-0.5_n0101,360,60,198,all_active_resolved,0,1,0,0,7,0,0,0.27138030568920135
5,A,-0.5,102,A_l-0.5_n0102,360,60,300,bank_exhausted,0,1,0,0,7,0,0,0.3917902396312752
8,A,-0.5,102,A_l-0.5_n0102,360,60,148,all_resolved,1,1,0,0,7,0,0,0.3378450232849643
5,A,-0.5,103,A_l-0.5_n0103,360,60,140,all_resolved,1,1,0,0,7,0,0,0.36764329638499177
8,A,-0.5,103,A_l-0.5_n0103,360,60,159,all_resolved,1,1,0,0,7,0,0,0.2819792083018952
5,A,-0.5,104,A_l-0.5_n0104,360,60,140,all_resolved,1,1,0,0,7,0,0,0.4659105168828707
8,A,-0.5,104,A_l-0.5_n0104,360,60,140,all_resolved,1,1,0,0,7,0,0,0.40913864922570564
5,A,-0.5,105,A_l-0.5_n0105,360,60,144,all_resolved,1,1,0,0,7,0,0,0.25159335981865305
8,A,-0.5,105,A_l-0.5_n0105,360,60,140,all_resolved,1,1,0,0,7,0,0,0.2973889590789902
5,A,-0.5,106,A_l-0.5_n0106,360,60,160,all_resolved,1,1,0,0,7,0,0,0.49160820859285337
8,A,-0.5,106,A_l-0.5_n0106,360,60,201,all_active_resolved,0,1,0,0,7,0,0,0.30736948465657193
5,A,-0.5,107,A_l-0.5_n0107,360,60,180,all_active_resolved,0,1,0,0,7,0,0,0.7172672025528991
8,A,-0.5,107,A_l-0.5_n0107,360,60,160,all_resolved,1,1,0,0,7,0,0,0.179921712851348
5,A,-0.5,108,A_l-0.5_n0108,360,60,140,all_resolved,1,1,0,0,7,0,0,0.38631657917691387
8,A,-0.5,108,A_l-0.5_n0108,360,60,149,all_resolved,1,1,0,1,7,0,0,0.5290602700820679
5,A,-0.5,109,A_l-0.5_n0109,360,60,176,all_resolved,1,1,0,0,7,0,0,0.38324419299758833
8,A,-0.5,109,A_l-0.5_n0109,360,60,180,all_active_resolved,0,1,0,0,7,0,0,0.37863308879854646
5,A,-0.5,110,A_l-0.5_n0110,360,60,140,all_resolved,1,1,0,0,7,0,0,0.18532402701087114
8,A,-0.5,110,A_l-0.5_n0110,360,60,158,all_resolved,1,1,0,0,7,0,0,0.21870706546176888
5,A,-0.5,111,A_l-0.5_n0111,360,60,140,all_resolved,1,1,0,0,7,0,0,0.3771168281448835
8,A,-0.5,111,A_l-0.5_n0111,360,60,140,all_resolved,1,1,0,0,7,0,0,0.223613099746973
5,A,-0.5,112,A_l-0.5_n0112,360,60,140,all_resolved,1,1,0,0,7,0,0,0.21365898394166402
8,A,-0.5,112,A_l-0.5_n0112,360,60,140,all_resolved,1,1,0,0,7,0,0,0.1598884307698707
5,A,-0.5,113,A_l-0.5_n0113,360,60,140,all_resolved,1,1,0,0,7,0,0,0.21136101111081299
8,A,-0.5,113,A_l-0.5_n0113,360,60,147,all_resolved,1,1,0,0,7,0,0,0.26256699594208904
5,A,-0.5,114,A_l-0.5_n0114,360,60,147,all_resolved,1,1,0,0,7,0,0,0.3064228768468859
8,A,-0.5,114,A_l-0.5_n0114,360,60,156,all_resolved,1,1,0,0,7,0,0,0.21723756157706223
5,A,-0.5,115,A_l-0.5_n0115,360,60,140,all_resolved,1,1,0,0,7,0,0,0.24905477346610688
8,A,-0.5,115,A_l-0.5_n0115,360,60,162,all_resolved,1,1,0,0,7,0,0,0.3261490217974138
5,A,-0.5,116,A_l-0.5_n0116,360,60,140,all_resolved,1,1,0,0,7,0,0,0.32014769292268397
8,A,-0.5,116,A_l-0.5_n0116,360,60,140,all_resolved,1,1,0,0,7,0,0,0.42012250102811766
5,A,-0.5,117,A_l-0.5_n0117,360,60,220,all_active_resolved,0,1,0,0,7,0,0,0.363657808363278
8,A,-0.5,117,A_l-0.5_n0117,360,60,146,all_resolved,1,1,0,1,7,0,0,0.4916060452354805
5,A,-0.5,118,A_l-0.5_n0118,360,60,151,all_resolved,1,1,0,0,7,0,0,0.16010915240018897
