case_id,origin,label_expert1,label_expert2,label_expert3,label_expert4
26396047,task2_images_v3/task2_event0119.png,domain6,domain7,domain6,domain6
26397526,task2_images_v3/task2_event0120.png,domain6,domain7,domain6,domain6
26396007,task2_images_v3/task2_event0121.png,domain6,domain6,domain6,domain6
26395925,task2_images_v3/task2_event0122.png,domain4,domain4,domain6,domain4
26396239,task2_images_v3/task2_event0123.png,domain4,domain6,domain6,domain6
26397536,task2_images_v3/task2_event0124.png,domain7,domain7,domain3,domain4
26394197,task2_images_v3/task2_event0125.png,domain4,domain4,domain6,domain4
26393872,task2_images_v3/task2_event0126.png,domain7,domain7,domain7,domain7
26395182,task2_images_v3/task2_event0127.png,domain4,domain4,domain4,domain4
26393807,task2_images_v3/task2_event0128.png,domain5,domain5,domain5,domain6
26395603,task2_images_v3/task2_event0129.png,domain6,domain6,domain6,domain6
26395636,task2_images_v3/task2_event0130.png,domain2,domain2,domain2,domain2
26393618,task2_images_v3/task2_event0131.png,domain5,domain3,domain5,domain2
26395720,task2_images_v3/task2_event0132.png,domain5,domain3,domain6,domain6
26394437,task2_images_v3/task2_event0133.png,domain6,domain4,domain6,domain6
26394646,task2_images_v3/task2_event0134.png,domain7,domain7,domain7,domain7
26395424,task2_images_v3/task2_event0135.png,domain2,domain4,domain4,domain4
26392876,task2_images_v3/task2_event0136.png,domain6,domain3,domain6,domain6
26397140,task2_images_v3/task2_event0137.png,domain6,domain6,domain6,domain6
26393418,task2_images_v3/task2_event0138.png,domain3,domain3,domain6,domain4
26394192,task2_images_v3/task2_event0139.png,domain7,domain4,domain5,domain6
26395248,task2_images_v3/task2_event0140.png,domain2,domain2,domain4,domain2
26395306,task2_images_v3/task2_event0141.png,domain2,domain2,domain2,domain6
26397431,task2_images_v3/task2_event0142.png,domain5,domain3,domain5,domain6
26396995,task2_images_v3/task2_event0143.png,domain3,domain3,domain3,domain5
26395812,task2_images_v3/task2_event0144.png,domain7,domain7,domain7,domain7
26395230,task2_images_v3/task2_event0145.png,domain4,domain4,domain4,domain4
26392840,task2_images_v3/task2_event0146.png,domain6,domain7,domain5,domain6
26393241,task2_images_v3/task2_event0147.png,domain5,domain5,domain5,domain5
26393113,task2_images_v3/task2_event0148.png,domain4,domain4,domain4,domain4
26395819,task2_images_v3/task2_event0149.png,domain5,domain4,domain5,domain6
26396628,task2_images_v3/task2_event0150.png,domain4,domain3,domain5,domain4
26395386,task2_images_v3/task2_event0151.png,domain7,domain7,domain7,domain7
26394183,task2_images_v3/task2_event0152.png,domain3,domain3,domain3,domain3
26394438,task2_images_v3/task2_event0153.png,domain4,domain4,domain4,domain4
26397156,task2_images_v3/task2_event0154.png,domain4,domain4,domain4,domain4
26397465,task2_images_v3/task2_event0155.png,domain7,domain3,domain3,domain3
26396611,task2_images_v3/task2_event0156.png,domain3,domain3,domain5,domain6
26397624,task2_images_v3/task2_event0157.png,domain6,domain4,domain6,domain6
26393891,task2_images_v3/task2_event0158.png,domain6,domain6,domain6,domain6
26394409,task2_images_v3/task2_event0159.png,domain6,domain4,domain6,domain6
26394461,task2_images_v3/task2_event0160.png,domain5,domain3,domain5,domain5
26394976,task2_images_v3/task2_event0161.png,domain3,domain3,domain5,domain5
26396659,task2_images_v3/task2_event0162.png,domain4,domain4,domain4,domain4
26397025,task2_images_v3/task2_event0163.png,domain5,domain3,domain5,domain6
26395374,task2_images_v3/task2_event0164.png,domain6,domain4,domain6,domain6
26396552,task2_images_v3/task2_event0165.png,domain7,domain7,domain7,domain7
26397158,task2_images_v3/task2_event0166.png,domain7,domain7,domain7,domain7
26393036,task2_images_v3/task2_event0167.png,domain5,domain3,domain5,domain5
26393706,task2_images_v3/task2_event0168.png,domain5,domain3,domain5,domain5
26395079,task2_images_v3/task2_event0169.png,domain5,domain3,domain6,domain5
26393751,task2_images_v3/task2_event0170.png,domain2,domain2,domain5,domain6
26395982,task2_images_v3/task2_event0171.png,domain3,domain4,domain6,domain6
26396536,task2_images_v3/task2_event0172.png,domain6,domain4,domain6,domain6
26395400,task2_images_v3/task2_event0173.png,domain4,domain4,domain5,domain4
26396267,task2_images_v3/task2_event0174.png,domain2,domain7,domain3,domain5
26396242,task2_images_v3/task2_event0175.png,domain4,domain2,domain4,domain4
26394381,task2_images_v3/task2_event0176.png,domain7,domain7,domain7,domain7
26395699,task2_images_v3/task2_event0177.png,domain6,domain6,domain6,domain6
26397029,task2_images_v3/task2_event0178.png,domain6,domain4,domain4,domain2
26393203,task2_images_v3/task2_event0179.png,domain5,domain3,domain5,domain5
26396534,task2_images_v3/task2_event0180.png,domain3,domain4,domain3,domain3
26395984,task2_images_v3/task2_event0181.png,domain3,domain3,domain6,domain5
26395133,task2_images_v3/task2_event0182.png,domain3,domain2,domain7,domain4
26395634,task2_images_v3/task2_event0183.png,domain3,domain4,domain6,domain4
26394340,task2_images_v3/task2_event0184.png,domain4,domain4,domain4,domain4
26393781,task2_images_v3/task2_event0185.png,domain2,domain2,domain2,domain2
26397368,task2_images_v3/task2_event0186.png,domain6,domain6,domain6,domain6
26392912,task2_images_v3/task2_event0187.png,domain6,domain6,domain6,domain6
26395746,task2_images_v3/task2_event0188.png,domain2,domain2,domain2,domain2
26396405,task2_images_v3/task2_event0189.png,domain7,domain7,domain7,domain7
26394221,task2_images_v3/task2_event0190.png,domain2,domain2,domain2,domain2
26393957,task2_images_v3/task2_event0191.png,domain2,domain2,domain2,domain2
26393765,task2_images_v3/task2_event0192.png,domain7,domain4,domain4,domain4
26397454,task2_images_v3/task2_event0193.png,domain5,domain3,domain5,domain6
26395589,task2_images_v3/task2_event0194.png,domain6,domain4,domain6,domain6
26396469,task2_images_v3/task2_event0195.png,domain2,domain2,domain2,domain2
26394944,task2_images_v3/task2_event0196.png,domain2,domain3,domain5,domain5
26393853,task2_images_v3/task2_event0197.png,domain2,domain2,domain2,domain4
26392943,task2_images_v3/task2_event0198.png,domain4,domain4,domain6,domain4
26397428,task2_images_v3/task2_event0199.png,domain3,domain3,domain5,domain5
26392993,task2_images_v3/task2_event0200.png,domain4,domain4,domain6,domain4
26393729,task2_images_v3/task2_event0201.png,domain7,domain7,domain6,domain7
26396630,task2_images_v3/task2_event0202.png,domain2,domain7,domain3,domain6
26395454,task2_images_v3/task2_event0203.png,domain2,domain2,domain4,domain2
26395849,task2_images_v3/task2_event0204.png,domain4,domain4,domain3,domain4
26397367,task2_images_v3/task2_event0205.png,domain5,domain5,domain5,domain5
26394957,task2_images_v3/task2_event0206.png,domain2,domain2,domain2,domain2
26395330,task2_images_v3/task2_event0207.png,domain2,domain4,domain6,domain2
26396928,task2_images_v3/task2_event0208.png,domain5,domain7,domain5,domain5
26394539,task2_images_v3/task2_event0209.png,domain6,domain6,domain6,domain6
26396278,task2_images_v3/task2_event0210.png,domain4,domain4,domain4,domain4
26395674,task2_images_v3/task2_event0211.png,domain4,domain4,domain6,domain4
26394600,task2_images_v3/task2_event0212.png,domain2,domain3,domain5,domain3
26397334,task2_images_v3/task2_event0213.png,domain3,domain7,domain3,domain5
26395889,task2_images_v3/task2_event0214.png,domain5,domain3,domain5,domain5
26397093,task2_images_v3/task2_event0215.png,domain4,domain4,domain4,domain4
26395072,task2_images_v3/task2_event0216.png,domain3,domain3,domain3,domain3
26393406,task2_images_v3/task2_event0217.png,domain5,domain7,domain5,domain5
26393931,task2_images_v3/task2_event0218.png,domain3,domain3,domain5,domain4
26395373,task2_images_v3/task2_event0219.png,domain2,domain7,domain3,domain3
26393129,task2_images_v3/task2_event0220.png,domain6,domain4,domain6,domain6
26394665,task2_images_v3/task2_event0221.png,domain5,domain3,domain5,domain6
26394277,task2_images_v3/task2_event0222.png,domain7,domain2,domain4,domain4
26393363,task2_images_v3/task2_event0223.png,domain6,domain5,domain5,domain6
26394605,task2_images_v3/task2_event0224.png,domain6,domain5,domain6,domain6
26397294,task2_images_v3/task2_event0225.png,domain2,domain2,domain6,domain2
26395518,task2_images_v3/task2_event0226.png,domain3,domain3,domain5,domain3
26393649,task2_images_v3/task2_event0227.png,domain5,domain4,domain5,domain5
26397656,task2_images_v3/task2_event0228.png,domain5,domain4,domain6,domain6
26395273,task2_images_v3/task2_event0229.png,domain2,domain2,domain5,domain2
26394817,task2_images_v3/task2_event0230.png,domain5,domain5,domain5,domain5
26394773,task2_images_v3/task2_event0231.png,domain5,domain3,domain5,domain5
26392945,task2_images_v3/task2_event0232.png,domain3,domain4,domain5,domain3
26396875,task2_images_v3/task2_event0233.png,domain4,domain4,domain4,domain4
26396249,task2_images_v3/task2_event0234.png,domain4,domain4,domain4,domain4
26393268,task2_images_v3/task2_event0235.png,domain2,domain4,domain5,domain6
26394574,task2_images_v3/task2_event0236.png,domain5,domain3,domain5,domain6
26394581,task2_images_v3/task2_event0237.png,domain4,domain4,domain4,domain4
26397695,task2_images_v3/task2_event0238.png,domain3,domain3,domain3,domain4
26393984,task2_images_v3/task2_event0239.png,domain6,domain4,domain6,domain6
26394376,task2_images_v3/task2_event0240.png,domain3,domain3,domain3,domain3
26395282,task2_images_v3/task2_event0241.png,domain4,domain4,domain4,domain4
26392809,task2_images_v3/task2_event0242.png,domain6,domain6,domain6,domain6
26395900,task2_images_v3/task2_event0243.png,domain7,domain7,domain7,domain7
26394748,task2_images_v3/task2_event0244.png,domain3,domain3,domain3,domain3
26397074,task2_images_v3/task2_event0245.png,domain3,domain3,domain3,domain3
26394101,task2_images_v3/task2_event0246.png,domain6,domain6,domain6,domain6
26393160,task2_images_v3/task2_event0247.png,domain2,domain2,domain3,domain2
26393613,task2_images_v3/task2_event0248.png,domain6,domain4,domain5,domain6
26397188,task2_images_v3/task2_event0249.png,domain6,domain3,domain6,domain6
26395701,task2_images_v3/task2_event0250.png,domain5,domain6,domain6,domain6
26397018,task2_images_v3/task2_event0251.png,domain7,domain3,domain3,domain3
26396165,task2_images_v3/task2_event0252.png,domain5,domain3,domain5,domain5
26392957,task2_images_v3/task2_event0253.png,domain6,domain4,domain6,domain6
26394167,task2_images_v3/task2_event0254.png,domain2,domain4,domain5,domain5
26396428,task2_images_v3/task2_event0255.png,domain6,domain4,domain6,domain4
26397614,task2_images_v3/task2_event0256.png,domain4,domain4,domain4,domain4
26396426,task2_images_v3/task2_event0257.png,domain2,domain2,domain6,domain2
26393599,task2_images_v3/task2_event0258.png,domain2,domain3,domain3,domain3
26395304,task2_images_v3/task2_event0259.png,domain2,domain3,domain3,domain3
26396274,task2_images_v3/task2_event0260.png,domain4,domain4,domain4,domain4
26393017,task2_images_v3/task2_event0261.png,domain6,domain4,domain6,domain6
26394586,task2_images_v3/task2_event0262.png,domain4,domain4,domain4,domain4
26392913,task2_images_v3/task2_event0263.png,domain3,domain3,domain3,domain3
26395727,task2_images_v3/task2_event0264.png,domain5,domain5,domain5,domain5
26396951,task2_images_v3/task2_event0265.png,domain5,domain3,domain5,domain2
26396065,task2_images_v3/task2_event0266.png,domain5,domain5,domain5,domain6
26394590,task2_images_v3/task2_event0267.png,domain2,domain7,domain2,domain2
26393084,task2_images_v3/task2_event0268.png,domain6,domain4,domain6,domain6
26395764,task2_images_v3/task2_event0269.png,domain5,domain4,domain5,domain6
26394229,task2_images_v3/task2_event0270.png,domain5,domain3,domain5,domain5
26393468,task2_images_v3/task2_event0271.png,domain5,domain3,domain5,domain6
26394634,task2_images_v3/task2_event0272.png,domain3,domain3,domain3,domain3
26397123,task2_images_v3/task2_event0273.png,domain6,domain4,domain4,domain4
26396727,task2_images_v3/task2_event0274.png,domain5,domain4,domain5,domain5
26393917,task2_images_v3/task2_event0275.png,domain5,domain3,domain5,domain6
26397572,task2_images_v3/task2_event0276.png,domain2,domain2,domain5,domain2
26394274,task2_images_v3/task2_event0277.png,domain7,domain7,domain7,domain7
26395135,task2_images_v3/task2_event0278.png,domain6,domain4,domain6,domain6
26395065,task2_images_v3/task2_event0279.png,domain6,domain7,domain6,domain4
26395309,task2_images_v3/task2_event0280.png,domain7,domain2,domain2,domain2
26395355,task2_images_v3/task2_event0281.png,domain2,domain2,domain2,domain2
26396585,task2_images_v3/task2_event0282.png,domain3,domain3,domain3,domain2
26393325,task2_images_v3/task2_event0283.png,domain4,domain2,domain2,domain4
26396032,task2_images_v3/task2_event0284.png,domain2,domain2,domain2,domain2
26395268,task2_images_v3/task2_event0285.png,domain7,domain7,domain4,domain2
26396048,task2_images_v3/task2_event0286.png,domain5,domain7,domain5,domain4
26395504,task2_images_v3/task2_event0287.png,domain4,domain4,domain4,domain4
26393475,task2_images_v3/task2_event0288.png,domain3,domain3,domain5,domain6
26392793,task2_images_v3/task2_event0289.png,domain5,domain4,domain5,domain6
26396042,task2_images_v3/task2_event0290.png,domain4,domain4,domain4,domain4
26396680,task2_images_v3/task2_event0291.png,domain5,domain3,domain5,domain3
26396226,task2_images_v3/task2_event0292.png,domain2,domain7,domain4,domain4
26394722,task2_images_v3/task2_event0293.png,domain4,domain4,domain4,domain4
26396412,task2_images_v3/task2_event0294.png,domain2,domain2,domain6,domain2
26393264,task2_images_v3/task2_event0295.png,domain4,domain4,domain4,domain4
26397640,task2_images_v3/task2_event0296.png,domain2,domain2,domain2,domain2
26394666,task2_images_v3/task2_event0297.png,domain4,domain3,domain4,domain4
26397524,task2_images_v3/task2_event0298.png,domain7,domain7,domain3,domain4
26394168,task2_images_v3/task2_event0299.png,domain3,domain4,domain3,domain4
26394594,task2_images_v3/task2_event0300.png,domain4,domain4,domain6,domain6
26393202,task2_images_v3/task2_event0301.png,domain2,domain2,domain2,domain2
26393981,task2_images_v3/task2_event0302.png,domain2,domain2,domain2,domain2
26397310,task2_images_v3/task2_event0303.png,domain6,domain6,domain6,domain6
26397390,task2_images_v3/task2_event0304.png,domain3,domain4,domain6,domain6
26395145,task2_images_v3/task2_event0305.png,domain4,domain4,domain6,domain4
26396408,task2_images_v3/task2_event0306.png,domain6,domain7,domain6,domain6
26396018,task2_images_v3/task2_event0307.png,domain4,domain4,domain6,domain6
26397035,task2_images_v3/task2_event0308.png,domain5,domain3,domain3,domain5
26393767,task2_images_v3/task2_event0309.png,domain4,domain4,domain4,domain4
26394726,task2_images_v3/task2_event0310.png,domain4,domain4,domain4,domain3
26394278,task2_images_v3/task2_event0311.png,domain3,domain6,domain3,domain4
26392846,task2_images_v3/task2_event0312.png,domain2,domain3,domain3,domain3
26396721,task2_images_v3/task2_event0313.png,domain5,domain5,domain5,domain5
26397476,task2_images_v3/task2_event0314.png,domain6,domain6,domain6,domain6
26396625,task2_images_v3/task2_event0315.png,domain4,domain4,domain3,domain4
26397278,task2_images_v3/task2_event0316.png,domain6,domain6,domain6,domain6
26397491,task2_images_v3/task2_event0317.png,domain3,domain4,domain4,domain4
26394204,task2_images_v3/task2_event0318.png,domain7,domain7,domain4,domain7
26392915,task2_images_v3/task2_event0319.png,domain3,domain7,domain3,domain2
26396333,task2_images_v3/task2_event0320.png,domain6,domain5,domain6,domain6
26393960,task2_images_v3/task2_event0321.png,domain5,domain3,domain5,domain5
26396717,task2_images_v3/task2_event0322.png,domain6,domain4,domain6,domain6
26393428,task2_images_v3/task2_event0323.png,domain5,domain3,domain5,domain5
26395015,task2_images_v3/task2_event0324.png,domain6,domain6,domain6,domain6
26394222,task2_images_v3/task2_event0325.png,domain6,domain3,domain6,domain4
26397091,task2_images_v3/task2_event0326.png,domain6,domain6,domain6,domain6
26393614,task2_images_v3/task2_event0327.png,domain7,domain7,domain7,domain7
26395459,task2_images_v3/task2_event0328.png,domain4,domain4,domain4,domain4
26396561,task2_images_v3/task2_event0329.png,domain5,domain3,domain3,domain3
26397692,task2_images_v3/task2_event0330.png,domain6,domain3,domain6,domain6
26394695,task2_images_v3/task2_event0331.png,domain3,domain3,domain3,domain3
26394158,task2_images_v3/task2_event0332.png,domain5,domain3,domain5,domain4
26394703,task2_images_v3/task2_event0333.png,domain6,domain4,domain6,domain4
26397396,task2_images_v3/task2_event0334.png,domain4,domain4,domain4,domain4
26395644,task2_images_v3/task2_event0335.png,domain6,domain7,domain6,domain6
26397387,task2_images_v3/task2_event0336.png,domain2,domain2,domain2,domain2
26394280,task2_images_v3/task2_event0337.png,domain4,domain7,domain7,domain7
26397076,task2_images_v3/task2_event0338.png,domain4,domain4,domain4,domain4
26396410,task2_images_v3/task2_event0339.png,domain3,domain3,domain3,domain3
26393309,task2_images_v3/task2_event0340.png,domain4,domain4,domain4,domain4
26396284,task2_images_v3/task2_event0341.png,domain2,domain2,domain2,domain2
26397776,task2_images_v3/task2_event0342.png,domain5,domain6,domain6,domain6
26393746,task2_images_v3/task2_event0343.png,domain3,domain3,domain3,domain3
26394443,task2_images_v3/task2_event0344.png,domain7,domain7,domain7,domain7
26395405,task2_images_v3/task2_event0345.png,domain2,domain2,domain2,domain2
26394387,task2_images_v3/task2_event0346.png,domain2,domain7,domain7,domain4
26395881,task2_images_v3/task2_event0347.png,domain3,domain3,domain3,domain3
26397527,task2_images_v3/task2_event0348.png,domain2,domain2,domain5,domain2
26396466,task2_images_v3/task2_event0349.png,domain3,domain3,domain3,domain3
26394860,task2_images_v3/task2_event0350.png,domain5,domain3,domain5,domain2
26395055,task2_images_v3/task2_event0351.png,domain5,domain3,domain5,domain2
26397376,task2_images_v3/task2_event0352.png,domain4,domain4,domain4,domain4
26393140,task2_images_v3/task2_event0353.png,domain5,domain7,domain5,domain2
26396499,task2_images_v3/task2_event0354.png,domain6,domain6,domain6,domain6
26392882,task2_images_v3/task2_event0355.png,domain2,domain2,domain4,domain2
26397762,task2_images_v3/task2_event0356.png,domain4,domain4,domain4,domain4
26393433,task2_images_v3/task2_event0357.png,domain5,domain4,domain6,domain5
26397599,task2_images_v3/task2_event0358.png,domain7,domain4,domain3,domain3
26393049,task2_images_v3/task2_event0359.png,domain7,domain2,domain2,domain2
26397292,task2_images_v3/task2_event0360.png,domain5,domain3,domain5,domain6
26394081,task2_images_v3/task2_event0361.png,domain3,domain7,domain6,domain4
26393313,task2_images_v3/task2_event0362.png,domain3,domain3,domain3,domain3
26393058,task2_images_v3/task2_event0363.png,domain4,domain4,domain3,domain4
26394266,task2_images_v3/task2_event0364.png,domain6,domain6,domain6,domain6
26394506,task2_images_v3/task2_event0365.png,domain4,domain7,domain6,domain2
26394868,task2_images_v3/task2_event0366.png,domain6,domain2,domain6,domain2
26397663,task2_images_v3/task2_event0367.png,domain3,domain3,domain3,domain3
26397145,task2_images_v3/task2_event0368.png,domain2,domain2,domain4,domain2
26397232,task2_images_v3/task2_event0369.png,domain4,domain2,domain4,domain2
26396283,task2_images_v3/task2_event0370.png,domain6,domain3,domain5,domain5
26395311,task2_images_v3/task2_event0371.png,domain2,domain2,domain2,domain2
26394433,task2_images_v3/task2_event0372.png,domain7,domain7,domain3,domain3
26393606,task2_images_v3/task2_event0373.png,domain6,domain6,domain6,domain6
26393725,task2_images_v3/task2_event0374.png,domain4,domain4,domain4,domain4
26394331,task2_images_v3/task2_event0375.png,domain4,domain4,domain4,domain4
26397416,task2_images_v3/task2_event0376.png,domain3,domain3,domain3,domain3
