extset_user_id,did_domain2-7_contest,did_domain1_contest,n_reads_domain2-7,n_reads_domain1,surveyed_domain2-7,surveyed_domain1,role,specialization,experience,derived_tier
282558,True,True,4904,4483,False,True,Practicing specialist (non-domain1-7 detection specialist),Not specialized in signal/domain1-7 detection,1-5 years,borderline
291950,True,False,1,0,False,False,,,,unknown
292356,False,False,0,0,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
292444,True,True,266,157,False,False,,,,unknown
292933,True,False,1,0,False,False,,,,unknown
293817,False,True,0,13,False,False,,,,unknown
295478,True,True,125,116,False,False,,,,unknown
295616,True,False,7,0,False,False,,,,unknown
295624,True,False,213,0,False,False,,,,unknown
296241,True,True,1065,615,False,False,,,,unknown
299374,True,True,2945,2573,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
299866,True,False,7,0,False,False,,,,unknown
305108,True,False,33,0,True,False,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
314189,False,True,0,3,True,False,Student,Specialized in adult signal/domain1-7 detection,1-5 years,expert
315556,True,False,6,0,False,False,,,,unknown
316516,True,True,72,72,False,True,Other,Specialized in adult signal/domain1-7 detection,More than 5 years,expert
316710,True,True,2,2,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
317891,False,True,0,3,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
318624,True,True,21,32,False,False,,,,unknown
318693,False,True,0,2,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
319661,False,False,0,0,True,False,Other,Not specialized in signal/domain1-7 detection,None,novice
322125,True,True,1,18,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
323079,True,True,158,10,False,False,,,,unknown
326041,True,False,1,0,False,False,,,,unknown
327093,False,True,0,148,False,False,,,,unknown
329173,True,True,1,1,False,True,Practicing specialist (non-domain1-7 detection specialist),Specialized in adult signal/domain1-7 detection,0-1 years,expert
331025,True,False,5,0,True,False,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
332125,False,False,0,0,True,False,Other,Not specialized in signal/domain1-7 detection,None,novice
335323,True,False,109,0,False,False,,,,unknown
339408,True,True,32,58,False,False,,,,unknown
339686,True,True,55,43,False,False,,,,unknown
340774,True,False,10,0,False,False,,,,unknown
340866,True,True,2,416,False,False,,,,unknown
340986,False,True,0,3,True,False,Other,Not specialized in signal/domain1-7 detection,None,novice
341549,True,False,4,0,False,False,,,,unknown
343797,True,True,183,79,False,False,,,,unknown
345499,True,True,5,11,False,False,,,,unknown
348570,False,True,0,2,False,True,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
349681,False,True,0,5,False,False,,,,unknown
351833,True,False,2,0,False,False,,,,unknown
351834,True,False,1,0,True,False,Student,Not specialized in signal/domain1-7 detection,None,novice
353214,False,True,0,7,False,False,,,,unknown
354828,True,False,3,0,False,False,,,,unknown
357322,True,True,180,385,False,False,,,,unknown
357603,False,True,0,2,False,False,,,,unknown
358060,True,True,4378,383,True,False,Resident,Specialized in adult signal/domain1-7 detection,0-1 years,expert
358907,True,True,6,1,False,False,,,,unknown
360041,False,True,0,16,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
360169,True,False,1,0,False,False,,,,unknown
363431,True,True,26,3733,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
363653,True,True,409,1924,False,False,,,,unknown
363949,True,False,661,0,False,False,,,,unknown
364382,True,True,41,35,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
364462,True,True,3,28,False,False,,,,unknown
364505,True,True,114,1345,True,False,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
367171,True,True,31,88,False,False,,,,unknown
368458,True,True,8,6,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
370506,False,True,0,13,False,False,,,,unknown
370584,True,True,2,46,False,False,,,,unknown
371504,True,False,30,0,False,False,,,,unknown
371535,True,False,23,0,False,False,,,,unknown
371899,True,False,63,0,False,False,,,,unknown
372514,True,True,32,12,True,False,Other,Not specialized in signal/domain1-7 detection,None,novice
376803,True,True,3,2541,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
377009,False,True,0,2,False,False,,,,unknown
377131,False,False,0,0,False,True,Practicing specialist (non-domain1-7 detection specialist),Not specialized in signal/domain1-7 detection,None,borderline
380157,True,False,43,0,False,False,,,,unknown
381562,True,True,420,1022,False,False,,,,unknown
382225,True,True,178,2993,False,True,Student,Not specialized in signal/domain1-7 detection,1-5 years,novice
383439,True,False,159,0,False,False,,,,unknown
383578,True,True,73,22,False,False,,,,unknown
385640,False,False,0,0,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
385861,True,True,52,699,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
387958,False,True,0,1,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
388028,True,True,1077,35,True,False,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
389034,False,True,0,18,False,False,,,,unknown
389530,True,False,10,0,False,False,,,,unknown
389808,True,True,92,165,False,False,,,,unknown
393316,True,False,7,0,False,False,,,,unknown
393526,True,True,198,2402,False,False,,,,unknown
394063,True,False,5,0,False,False,,,,unknown
395043,True,True,1,3,False,False,,,,unknown
395045,True,False,331,0,False,False,,,,unknown
396322,False,True,0,5,False,False,,,,unknown
397272,True,False,1,0,False,False,,,,unknown
398119,True,False,53,0,False,False,,,,unknown
401542,True,True,14,38,False,False,,,,unknown
401878,True,True,23,1762,False,False,,,,unknown
403209,True,True,5,5,False,False,,,,unknown
404030,True,False,5,0,False,False,,,,unknown
404880,False,True,0,9,False,False,,,,unknown
404941,True,False,9,0,False,False,,,,unknown
404989,True,False,12,0,False,False,,,,unknown
405558,True,False,5,0,False,False,,,,unknown
405999,False,True,0,5,False,False,,,,unknown
406067,False,False,0,0,False,True,Practicing specialist (non-domain1-7 detection specialist),Not specialized in signal/domain1-7 detection,None,borderline
406335,True,True,124,23,True,False,Other,Not specialized in signal/domain1-7 detection,None,novice
406396,True,True,78,3483,False,True,Resident,Not specialized in signal/domain1-7 detection,0-1 years,borderline
406687,True,False,29,0,False,False,,,,unknown
407905,True,True,98,126,False,False,,,,unknown
409029,True,False,3,0,False,False,,,,unknown
410229,True,True,9,112,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
410378,True,True,11,21,False,False,,,,unknown
410463,True,True,10,6,True,False,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
410586,True,False,10,0,False,False,,,,unknown
410589,True,False,12,0,False,False,,,,unknown
410661,True,True,132,924,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
410669,False,True,0,8,False,True,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
410938,True,False,6,0,False,False,,,,unknown
411214,True,False,15,0,False,False,,,,unknown
411261,True,True,39,203,False,False,,,,unknown
411486,True,False,2,0,False,False,,,,unknown
412853,True,False,28,0,True,False,Resident,Not specialized in signal/domain1-7 detection,None,borderline
413098,True,True,14,13,False,False,,,,unknown
415361,True,False,4,0,True,False,Resident,Not specialized in signal/domain1-7 detection,None,borderline
415711,True,True,9,35,False,False,,,,unknown
415824,False,True,0,50,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
417255,True,False,28,0,False,False,,,,unknown
417588,True,True,23,15,False,False,,,,unknown
418027,True,False,2,0,False,False,,,,unknown
418820,False,True,0,12,False,False,,,,unknown
420976,True,True,1,1,False,True,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
421122,True,True,4963,3496,False,True,Resident,Not specialized in signal/domain1-7 detection,0-1 years,borderline
423724,True,False,1,0,True,False,Other,Not specialized in signal/domain1-7 detection,0-1 years,novice
426774,True,False,23,0,False,False,,,,unknown
426874,True,False,10,0,True,False,Practicing specialist (non-domain1-7 detection specialist),Not specialized in signal/domain1-7 detection,None,borderline
427026,True,True,22,48,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
427272,True,True,174,185,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
427522,True,True,4907,3745,False,True,Practicing specialist (non-domain1-7 detection specialist),Not specialized in signal/domain1-7 detection,None,borderline
427523,True,True,4971,4709,False,True,Resident,Not specialized in signal/domain1-7 detection,0-1 years,borderline
427824,True,False,5,0,False,False,,,,unknown
428036,True,False,3,0,False,False,,,,unknown
430213,False,True,0,8,False,False,,,,unknown
431242,False,True,0,10,False,False,,,,unknown
432596,True,False,3,0,False,False,,,,unknown
433291,False,False,0,0,True,False,Other,Not specialized in signal/domain1-7 detection,None,novice
433815,False,True,0,561,False,False,,,,unknown
436034,True,False,68,0,False,False,,,,unknown
436223,True,True,189,18,False,True,Student,Specialized in pediatric signal/domain1-7 detection,None,expert
436777,False,True,0,1,False,False,,,,unknown
437411,False,False,0,0,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
437599,True,True,15,4994,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
438239,False,True,0,2,False,False,,,,unknown
441554,True,False,126,0,False,False,,,,unknown
442392,False,True,0,5,False,False,,,,unknown
442462,False,True,0,23,False,False,,,,unknown
445500,True,True,171,30,False,False,,,,unknown
445713,True,False,36,0,False,False,,,,unknown
445849,False,True,0,1,False,True,Other,Not specialized in signal/domain1-7 detection,0-1 years,novice
445892,True,True,26,12,True,False,Practicing specialist (non-domain1-7 detection specialist),Specialized in adult signal/domain1-7 detection,0-1 years,expert
446003,True,False,2,0,False,False,,,,unknown
446198,True,False,8,0,False,False,,,,unknown
447302,True,False,62,0,True,False,Student,Not specialized in signal/domain1-7 detection,None,novice
447541,True,False,24,0,False,False,,,,unknown
449146,False,True,0,1,False,False,,,,unknown
449789,False,True,0,2,False,False,,,,unknown
450160,True,False,1,0,False,False,,,,unknown
452176,True,False,2,0,False,False,,,,unknown
452632,True,False,118,0,False,False,,,,unknown
453167,True,True,106,1142,False,True,Resident,Not specialized in signal/domain1-7 detection,None,borderline
454972,True,False,5,0,False,False,,,,unknown
455430,True,True,4,9,False,False,,,,unknown
456497,True,True,102,6,True,False,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
457754,False,True,0,89,False,False,,,,unknown
457757,True,False,39,0,False,False,,,,unknown
459512,False,False,0,0,True,False,Student,Not specialized in signal/domain1-7 detection,None,novice
461482,False,True,0,8,False,False,,,,unknown
461485,False,False,0,0,False,True,Student,Specialized in adult signal/domain1-7 detection,1-5 years,expert
462070,True,True,5,6,False,False,,,,unknown
462610,True,False,55,0,False,False,,,,unknown
463110,True,True,379,28,False,False,,,,unknown
463786,True,False,31,0,False,False,,,,unknown
464310,True,False,35,0,False,False,,,,unknown
467218,True,False,1,0,False,False,,,,unknown
467287,False,True,0,5,False,False,,,,unknown
467362,True,True,2675,3017,True,False,Practicing specialist (non-domain1-7 detection specialist),Not specialized in signal/domain1-7 detection,1-5 years,borderline
468188,True,True,16,10,False,False,,,,unknown
468317,True,False,10,0,False,False,,,,unknown
469638,False,True,0,1,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
469845,True,False,11,0,False,False,,,,unknown
471634,True,False,3,0,False,False,,,,unknown
472978,True,False,4,0,False,False,,,,unknown
474366,True,True,628,303,False,True,Student,Specialized in pediatric signal/domain1-7 detection,0-1 years,expert
474871,True,True,6,8,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
475646,True,True,29,107,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
477552,False,True,0,87,False,False,,,,unknown
479788,True,True,276,2041,False,True,Practicing specialist (non-domain1-7 detection specialist),Not specialized in signal/domain1-7 detection,0-1 years,borderline
481254,False,False,0,0,False,True,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
483852,False,False,0,0,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
484770,True,False,15,0,False,False,,,,unknown
484801,False,True,0,6,True,False,Other,Not specialized in signal/domain1-7 detection,None,novice
487681,True,True,368,6,True,False,Student,Not specialized in signal/domain1-7 detection,None,novice
488940,True,True,71,562,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
489184,False,False,0,0,True,False,Other,Not specialized in signal/domain1-7 detection,None,novice
489707,True,True,4949,4931,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
490047,True,True,5,17,False,True,Resident,Not specialized in signal/domain1-7 detection,0-1 years,borderline
490406,True,False,1,0,False,False,,,,unknown
491072,True,False,44,0,False,False,,,,unknown
492451,True,True,55,96,True,False,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
492981,True,True,164,783,False,True,Other,Not specialized in signal/domain1-7 detection,0-1 years,novice
493926,False,False,0,0,True,False,Student,Not specialized in signal/domain1-7 detection,None,novice
497517,True,False,39,0,False,False,,,,unknown
498173,False,True,0,9,False,False,,,,unknown
499508,False,True,0,71,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
499546,True,True,14,1,False,False,,,,unknown
499684,False,True,0,1,False,True,Practicing specialist (non-domain1-7 detection specialist),Not specialized in signal/domain1-7 detection,None,borderline
501111,True,True,188,1222,False,False,,,,unknown
502081,True,False,10,0,False,False,,,,unknown
504058,False,True,0,3,False,False,,,,unknown
504297,True,False,142,0,False,False,,,,unknown
504414,True,False,8,0,True,False,Sub-student,Not specialized in signal/domain1-7 detection,None,novice
504641,True,False,11,0,False,False,,,,unknown
504728,True,True,100,9,False,False,,,,unknown
504969,True,False,5,0,True,False,Other,Specialized in pediatric signal/domain1-7 detection,1-5 years,expert
505727,False,False,0,0,False,True,Other,Not specialized in signal/domain1-7 detection,0-1 years,novice
505854,True,False,16,0,False,False,,,,unknown
506307,False,True,0,1,False,False,,,,unknown
506312,False,True,0,5,False,False,,,,unknown
507300,False,True,0,36,False,False,,,,unknown
507517,False,True,0,4,False,False,,,,unknown
507674,True,False,35,0,False,False,,,,unknown
507875,True,False,99,0,False,False,,,,unknown
507897,True,True,26,41,False,True,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
508039,True,False,13,0,False,False,,,,unknown
508744,True,False,5,0,False,False,,,,unknown
508745,True,True,7,1,False,False,,,,unknown
508956,True,True,290,10,False,False,,,,unknown
508965,True,True,20,345,True,False,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
509395,True,True,325,2894,False,True,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
511270,True,False,6,0,True,False,Student,Not specialized in signal/domain1-7 detection,None,novice
511354,False,True,0,2,False,False,,,,unknown
512368,False,True,0,1,False,False,,,,unknown
512889,False,False,0,0,True,False,Student,Not specialized in signal/domain1-7 detection,None,novice
513496,False,False,0,0,False,True,Other,Not specialized in signal/domain1-7 detection,1-5 years,novice
514658,False,True,0,14,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
514731,True,False,4,0,True,False,Other,Not specialized in signal/domain1-7 detection,None,novice
514758,False,True,0,9,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
516714,True,True,2,6,False,True,Practicing specialist (non-domain1-7 detection specialist),Not specialized in signal/domain1-7 detection,0-1 years,borderline
517730,True,True,85,41,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
517927,True,True,240,86,False,False,,,,unknown
518455,False,True,0,27,False,False,,,,unknown
518592,True,True,264,2782,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
519234,True,False,1,0,False,True,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
519297,False,True,0,16,False,True,Resident,Not specialized in signal/domain1-7 detection,None,borderline
519844,True,False,60,0,False,False,,,,unknown
520589,True,False,5,0,False,False,,,,unknown
521473,True,False,4,0,False,False,,,,unknown
521719,True,True,1024,307,False,False,,,,unknown
523763,False,True,0,178,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
523812,True,False,2,0,False,False,,,,unknown
524048,True,False,28,0,False,False,,,,unknown
524893,True,False,5,0,True,False,Student,Not specialized in signal/domain1-7 detection,None,novice
524966,True,True,18,8,False,False,,,,unknown
525212,False,True,0,16,False,False,,,,unknown
525327,False,True,0,4,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
526153,True,False,123,0,False,False,,,,unknown
526838,True,False,1,0,False,False,,,,unknown
527832,True,False,26,0,False,False,,,,unknown
528018,True,True,167,332,False,False,,,,unknown
528824,True,True,604,133,False,False,,,,unknown
528880,True,True,20,13,False,False,,,,unknown
530936,False,True,0,151,False,False,,,,unknown
531182,True,True,37,15,False,False,,,,unknown
531782,True,False,1,0,False,False,,,,unknown
532077,True,False,6,0,True,False,Student,Not specialized in signal/domain1-7 detection,None,novice
532292,True,False,7,0,False,False,,,,unknown
533257,True,True,96,25,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
533266,False,True,0,45,False,False,,,,unknown
533775,False,False,0,0,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
534165,False,False,0,0,False,True,Practicing specialist (non-signal detection),Not specialized in signal/domain1-7 detection,0-1 years,novice
534403,True,False,10,0,False,False,,,,unknown
534674,True,False,16,0,False,False,,,,unknown
537189,False,True,0,83,False,False,,,,unknown
537307,True,False,7,0,False,False,,,,unknown
538604,False,True,0,13,False,False,,,,unknown
542409,True,False,34,0,False,False,,,,unknown
543186,True,False,35,0,False,False,,,,unknown
543288,False,False,0,0,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
544224,True,True,1001,424,False,False,,,,unknown
545514,True,False,21,0,False,False,,,,unknown
545704,True,False,148,0,False,False,,,,unknown
545920,True,True,1518,18,False,False,,,,unknown
547555,True,True,59,18,False,True,Student,Not specialized in signal/domain1-7 detection,1-5 years,novice
548261,True,False,523,0,False,False,,,,unknown
549597,False,False,0,0,True,False,Other,Not specialized in signal/domain1-7 detection,None,novice
550438,False,False,0,0,True,False,Student,Specialized in adult signal/domain1-7 detection,0-1 years,expert
551978,False,True,0,2,False,False,,,,unknown
552120,True,True,21,8,False,False,,,,unknown
552947,False,True,0,43,False,True,Resident,Not specialized in signal/domain1-7 detection,1-5 years,borderline
553255,True,False,4,0,False,False,,,,unknown
553437,True,True,44,7,True,False,Student,Not specialized in signal/domain1-7 detection,None,novice
554066,True,True,379,1806,False,True,Sub-student,Not specialized in signal/domain1-7 detection,None,novice
555991,True,False,4,0,False,False,,,,unknown
556359,True,False,219,0,False,False,,,,unknown
557450,False,False,0,0,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
557685,False,True,0,15,False,False,,,,unknown
558034,False,True,0,3,False,True,Resident,Specialized in adult signal/domain1-7 detection,None,expert
559265,False,True,0,9,False,False,,,,unknown
559443,True,False,20,0,False,False,,,,unknown
560584,True,False,5,0,False,False,,,,unknown
560658,True,False,39,0,False,False,,,,unknown
561246,True,False,4,0,False,False,,,,unknown
561788,True,True,6,105,False,False,,,,unknown
562422,True,True,3,105,False,False,,,,unknown
562747,True,True,38,2,False,False,,,,unknown
562756,True,True,219,1,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
563331,True,False,3,0,False,False,,,,unknown
564279,False,False,0,0,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
564286,True,False,8,0,True,False,Student,Not specialized in signal/domain1-7 detection,None,novice
565246,True,True,2096,4976,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
565263,True,True,17,195,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
566163,True,True,1,28,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
566283,True,False,15,0,False,False,,,,unknown
566370,True,True,2034,986,False,False,,,,unknown
566739,True,False,16,0,False,False,,,,unknown
567616,True,True,765,4,False,False,,,,unknown
568295,False,True,0,522,False,False,,,,unknown
569432,True,True,1,38,False,False,,,,unknown
569668,True,True,2801,2932,True,False,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
570326,True,True,84,354,False,True,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
570381,True,True,125,8,False,False,,,,unknown
571118,False,True,0,1,False,False,,,,unknown
572023,True,True,9,24,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
572112,False,True,0,5,False,False,,,,unknown
572722,False,True,0,1273,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
572980,True,True,1741,3574,False,True,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
573531,False,True,0,41,False,False,,,,unknown
573642,True,False,9,0,False,False,,,,unknown
574073,True,False,22,0,False,False,,,,unknown
574935,False,False,0,0,False,True,Sub-student,Not specialized in signal/domain1-7 detection,None,novice
574948,False,True,0,10,False,False,,,,unknown
575292,True,False,102,0,False,False,,,,unknown
575298,False,False,0,0,False,True,Sub-student,Not specialized in signal/domain1-7 detection,None,novice
576334,False,True,0,10,False,False,,,,unknown
576663,True,False,23,0,False,False,,,,unknown
578000,False,True,0,67,False,False,,,,unknown
578243,False,False,0,0,True,False,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
578497,True,False,8,0,False,False,,,,unknown
578766,False,True,0,33,False,False,,,,unknown
578973,True,True,4676,4954,False,True,Other,Not specialized in signal/domain1-7 detection,0-1 years,novice
579427,True,True,39,95,False,True,Resident,Specialized in adult signal/domain1-7 detection,0-1 years,expert
579547,True,True,4,5,False,False,,,,unknown
579702,True,True,94,7,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
580597,False,True,0,1,False,False,,,,unknown
580746,True,True,11,76,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
580853,True,False,2,0,False,False,,,,unknown
580964,True,False,39,0,False,False,,,,unknown
581407,True,False,49,0,False,False,,,,unknown
582334,True,True,3734,3227,False,True,Sub-student,Not specialized in signal/domain1-7 detection,1-5 years,novice
582929,False,False,0,0,False,True,Sub-student,Specialized in adult signal/domain1-7 detection,0-1 years,expert
583032,False,True,0,1,False,False,,,,unknown
583107,True,False,1,0,False,False,,,,unknown
584042,True,False,14,0,False,False,,,,unknown
584383,False,True,0,34,False,False,,,,unknown
584675,False,False,0,0,True,False,Practicing specialist (non-domain1-7 detection specialist),Specialized in adult signal/domain1-7 detection,More than 5 years,expert
585413,False,False,0,0,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
585806,True,False,478,0,False,False,,,,unknown
586308,True,False,30,0,False,False,,,,unknown
586396,True,False,2,0,False,False,,,,unknown
587421,False,True,0,36,False,True,Student,Not specialized in signal/domain1-7 detection,1-5 years,novice
587724,True,False,6,0,True,False,Student,Specialized in adult signal/domain1-7 detection,More than 5 years,expert
588266,False,True,0,2,False,False,,,,unknown
588731,True,True,4,2,False,False,,,,unknown
589324,True,False,5,0,False,False,,,,unknown
590196,False,True,0,25,False,False,,,,unknown
591096,True,False,10,0,False,False,,,,unknown
592156,True,True,2309,3827,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
592347,True,False,5,0,False,False,,,,unknown
592683,False,True,0,104,False,False,,,,unknown
593236,True,True,27,44,False,False,,,,unknown
594185,True,False,164,0,False,False,,,,unknown
594187,False,True,0,39,False,False,,,,unknown
594391,True,True,6,132,False,False,,,,unknown
594506,False,True,0,61,False,True,Resident,Not specialized in signal/domain1-7 detection,None,borderline
594521,True,True,260,45,False,False,,,,unknown
594753,False,True,0,37,False,True,Other,Not specialized in signal/domain1-7 detection,More than 5 years,novice
594820,True,True,24,40,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
595631,False,True,0,1,False,False,,,,unknown
596773,True,False,59,0,False,False,,,,unknown
596797,True,False,1,0,False,False,,,,unknown
596802,True,True,1661,1893,False,True,Practicing specialist (non-domain1-7 detection specialist),Not specialized in signal/domain1-7 detection,1-5 years,borderline
597376,False,True,0,8,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
597886,False,True,0,5,False,False,,,,unknown
598814,True,False,20,0,False,False,,,,unknown
598848,True,False,56,0,False,False,,,,unknown
598885,True,False,7,0,False,False,,,,unknown
