seg_id,rater_id,label_type,value,source_dataset
91871,10608014,domain1,domain1,extset_2025_task1
91871,10609947,domain1,domain1,extset_2025_task1
91871,10614569,domain1,non-domain1,extset_2025_task1
91871,10614668,domain1,domain1,extset_2025_task1
93731,10123559,domain1,non-domain1,extset_2025_task1
93731,10187180,domain1,non-domain1,extset_2025_task1
93731,10268689,domain1,non-domain1,extset_2025_task1
93731,10282558,domain1,non-domain1,extset_2025_task1
93731,10299374,domain1,non-domain1,extset_2025_task1
93731,10339408,domain1,non-domain1,extset_2025_task1
93731,10363431,domain1,non-domain1,extset_2025_task1
93731,10363653,domain1,non-domain1,extset_2025_task1
93731,10364505,domain1,non-domain1,extset_2025_task1
93731,10393526,domain1,non-domain1,extset_2025_task1
93731,10406396,domain1,non-domain1,extset_2025_task1
93731,10421122,domain1,non-domain1,extset_2025_task1
93731,10427522,domain1,non-domain1,extset_2025_task1
93731,10427523,domain1,non-domain1,extset_2025_task1
93731,10437599,domain1,non-domain1,extset_2025_task1
93731,10467362,domain1,non-domain1,extset_2025_task1
93731,10479788,domain1,non-domain1,extset_2025_task1
93731,10489707,domain1,non-domain1,extset_2025_task1
93731,10508965,domain1,non-domain1,extset_2025_task1
93731,10509395,domain1,non-domain1,extset_2025_task1
93731,10533257,domain1,non-domain1,extset_2025_task1
93731,10533266,domain1,non-domain1,extset_2025_task1
93731,10533775,domain1,non-domain1,extset_2025_task1
93731,10544224,domain1,non-domain1,extset_2025_task1
93731,10565246,domain1,non-domain1,extset_2025_task1
93731,10569668,domain1,non-domain1,extset_2025_task1
93731,10572980,domain1,non-domain1,extset_2025_task1
93731,10578973,domain1,non-domain1,extset_2025_task1
93731,10592156,domain1,domain1,extset_2025_task1
93731,10596802,domain1,non-domain1,extset_2025_task1
93731,10601052,domain1,non-domain1,extset_2025_task1
93731,10601918,domain1,non-domain1,extset_2025_task1
93731,10602929,domain1,domain1,extset_2025_task1
93731,10602990,domain1,non-domain1,extset_2025_task1
93731,10603919,domain1,non-domain1,extset_2025_task1
93731,10605360,domain1,non-domain1,extset_2025_task1
93731,10605875,domain1,non-domain1,extset_2025_task1
93731,10609947,domain1,non-domain1,extset_2025_task1
93731,10610275,domain1,non-domain1,extset_2025_task1
93731,10610357,domain1,non-domain1,extset_2025_task1
93731,10615312,domain1,non-domain1,extset_2025_task1
93731,10618385,domain1,domain1,extset_2025_task1
90018,10187180,domain1,domain1,extset_2025_task1
90018,10225288,domain1,non-domain1,extset_2025_task1
90018,10282558,domain1,domain1,extset_2025_task1
90018,10363431,domain1,domain1,extset_2025_task1
90018,10382225,domain1,domain1,extset_2025_task1
90018,10406396,domain1,non-domain1,extset_2025_task1
90018,10410661,domain1,domain1,extset_2025_task1
90018,10421122,domain1,domain1,extset_2025_task1
90018,10427522,domain1,domain1,extset_2025_task1
90018,10427523,domain1,domain1,extset_2025_task1
90018,10437599,domain1,non-domain1,extset_2025_task1
90018,10467362,domain1,non-domain1,extset_2025_task1
90018,10489707,domain1,domain1,extset_2025_task1
90018,10509395,domain1,domain1,extset_2025_task1
90018,10518592,domain1,domain1,extset_2025_task1
90018,10530936,domain1,non-domain1,extset_2025_task1
90018,10565246,domain1,domain1,extset_2025_task1
90018,10572980,domain1,domain1,extset_2025_task1
90018,10578973,domain1,domain1,extset_2025_task1
90018,10582334,domain1,domain1,extset_2025_task1
90018,10596802,domain1,domain1,extset_2025_task1
90018,10601918,domain1,non-domain1,extset_2025_task1
90018,10602141,domain1,domain1,extset_2025_task1
90018,10602990,domain1,domain1,extset_2025_task1
90018,10603919,domain1,domain1,extset_2025_task1
90018,10604555,domain1,non-domain1,extset_2025_task1
90018,10607669,domain1,domain1,extset_2025_task1
90018,10616775,domain1,non-domain1,extset_2025_task1
92565,10123559,domain1,domain1,extset_2025_task1
92565,10187180,domain1,non-domain1,extset_2025_task1
92565,10282558,domain1,non-domain1,extset_2025_task1
92565,10295478,domain1,domain1,extset_2025_task1
92565,10296241,domain1,domain1,extset_2025_task1
92565,10299374,domain1,non-domain1,extset_2025_task1
92565,10363431,domain1,non-domain1,extset_2025_task1
92565,10363653,domain1,non-domain1,extset_2025_task1
92565,10376803,domain1,non-domain1,extset_2025_task1
92565,10381562,domain1,non-domain1,extset_2025_task1
92565,10382225,domain1,non-domain1,extset_2025_task1
92565,10393526,domain1,non-domain1,extset_2025_task1
92565,10410661,domain1,domain1,extset_2025_task1
92565,10421122,domain1,non-domain1,extset_2025_task1
92565,10427523,domain1,non-domain1,extset_2025_task1
92565,10437599,domain1,non-domain1,extset_2025_task1
92565,10467362,domain1,non-domain1,extset_2025_task1
92565,10479788,domain1,domain1,extset_2025_task1
92565,10489707,domain1,non-domain1,extset_2025_task1
92565,10509395,domain1,non-domain1,extset_2025_task1
92565,10518592,domain1,non-domain1,extset_2025_task1
92565,10554066,domain1,domain1,extset_2025_task1
92565,10565246,domain1,non-domain1,extset_2025_task1
92565,10569668,domain1,domain1,extset_2025_task1
92565,10578973,domain1,non-domain1,extset_2025_task1
92565,10582334,domain1,domain1,extset_2025_task1
92565,10596802,domain1,non-domain1,extset_2025_task1
92565,10601918,domain1,non-domain1,extset_2025_task1
92565,10603919,domain1,non-domain1,extset_2025_task1
92565,10604555,domain1,non-domain1,extset_2025_task1
92565,10605875,domain1,domain1,extset_2025_task1
92565,10607669,domain1,non-domain1,extset_2025_task1
92565,10609709,domain1,non-domain1,extset_2025_task1
92565,10609947,domain1,non-domain1,extset_2025_task1
92565,10611702,domain1,non-domain1,extset_2025_task1
92565,10612272,domain1,domain1,extset_2025_task1
89471,10187180,domain1,domain1,extset_2025_task1
89471,10282558,domain1,domain1,extset_2025_task1
89471,10340866,domain1,non-domain1,extset_2025_task1
89471,10363431,domain1,domain1,extset_2025_task1
89471,10364505,domain1,non-domain1,extset_2025_task1
89471,10382225,domain1,domain1,extset_2025_task1
89471,10401878,domain1,domain1,extset_2025_task1
89471,10406396,domain1,domain1,extset_2025_task1
89471,10427522,domain1,domain1,extset_2025_task1
89471,10427523,domain1,domain1,extset_2025_task1
89471,10437599,domain1,domain1,extset_2025_task1
89471,10467362,domain1,domain1,extset_2025_task1
89471,10489707,domain1,non-domain1,extset_2025_task1
89471,10492451,domain1,domain1,extset_2025_task1
89471,10509395,domain1,domain1,extset_2025_task1
89471,10518592,domain1,domain1,extset_2025_task1
89471,10565246,domain1,non-domain1,extset_2025_task1
89471,10572722,domain1,domain1,extset_2025_task1
89471,10572980,domain1,domain1,extset_2025_task1
89471,10578973,domain1,domain1,extset_2025_task1
89471,10582334,domain1,non-domain1,extset_2025_task1
89471,10596802,domain1,domain1,extset_2025_task1
89471,10601918,domain1,non-domain1,extset_2025_task1
89471,10603919,domain1,domain1,extset_2025_task1
89471,10605875,domain1,domain1,extset_2025_task1
89471,10609947,domain1,domain1,extset_2025_task1
89471,10610275,domain1,domain1,extset_2025_task1
90244,10123559,domain1,domain1,extset_2025_task1
90244,10132535,domain1,non-domain1,extset_2025_task1
90244,10187180,domain1,non-domain1,extset_2025_task1
90244,10268689,domain1,domain1,extset_2025_task1
90244,10282558,domain1,domain1,extset_2025_task1
90244,10363431,domain1,non-domain1,extset_2025_task1
90244,10382225,domain1,non-domain1,extset_2025_task1
90244,10421122,domain1,domain1,extset_2025_task1
90244,10427522,domain1,domain1,extset_2025_task1
90244,10427523,domain1,domain1,extset_2025_task1
90244,10437599,domain1,non-domain1,extset_2025_task1
90244,10467362,domain1,domain1,extset_2025_task1
90244,10489707,domain1,domain1,extset_2025_task1
90244,10508965,domain1,domain1,extset_2025_task1
90244,10509395,domain1,domain1,extset_2025_task1
90244,10565246,domain1,domain1,extset_2025_task1
90244,10568295,domain1,non-domain1,extset_2025_task1
90244,10569668,domain1,domain1,extset_2025_task1
90244,10578973,domain1,domain1,extset_2025_task1
90244,10582334,domain1,domain1,extset_2025_task1
90244,10596802,domain1,non-domain1,extset_2025_task1
90244,10601918,domain1,domain1,extset_2025_task1
90244,10603748,domain1,non-domain1,extset_2025_task1
90244,10603919,domain1,domain1,extset_2025_task1
90244,10604555,domain1,domain1,extset_2025_task1
90244,10607929,domain1,non-domain1,extset_2025_task1
90244,10609947,domain1,domain1,extset_2025_task1
90244,10610117,domain1,domain1,extset_2025_task1
90244,10611801,domain1,non-domain1,extset_2025_task1
94058,10043096,domain1,domain1,extset_2025_task1
94058,10123559,domain1,domain1,extset_2025_task1
94058,10282558,domain1,non-domain1,extset_2025_task1
94058,10363431,domain1,non-domain1,extset_2025_task1
94058,10363653,domain1,non-domain1,extset_2025_task1
94058,10364505,domain1,non-domain1,extset_2025_task1
94058,10382225,domain1,non-domain1,extset_2025_task1
94058,10406396,domain1,non-domain1,extset_2025_task1
94058,10411261,domain1,non-domain1,extset_2025_task1
94058,10427523,domain1,non-domain1,extset_2025_task1
94058,10437599,domain1,non-domain1,extset_2025_task1
94058,10467362,domain1,non-domain1,extset_2025_task1
94058,10484801,domain1,domain1,extset_2025_task1
94058,10489707,domain1,non-domain1,extset_2025_task1
94058,10565246,domain1,non-domain1,extset_2025_task1
94058,10572980,domain1,non-domain1,extset_2025_task1
94058,10578973,domain1,non-domain1,extset_2025_task1
94058,10582334,domain1,non-domain1,extset_2025_task1
94058,10592156,domain1,non-domain1,extset_2025_task1
94058,10596802,domain1,non-domain1,extset_2025_task1
94058,10600349,domain1,non-domain1,extset_2025_task1
94058,10601918,domain1,non-domain1,extset_2025_task1
94058,10602929,domain1,non-domain1,extset_2025_task1
94058,10602990,domain1,non-domain1,extset_2025_task1
94058,10603919,domain1,non-domain1,extset_2025_task1
94058,10604555,domain1,non-domain1,extset_2025_task1
94058,10605833,domain1,non-domain1,extset_2025_task1
94058,10605875,domain1,domain1,extset_2025_task1
94058,10612157,domain1,non-domain1,extset_2025_task1
91271,10123559,domain1,domain1,extset_2025_task1
91271,10187180,domain1,domain1,extset_2025_task1
91271,10282558,domain1,non-domain1,extset_2025_task1
91271,10357322,domain1,domain1,extset_2025_task1
91271,10363431,domain1,non-domain1,extset_2025_task1
91271,10382225,domain1,non-domain1,extset_2025_task1
91271,10393526,domain1,non-domain1,extset_2025_task1
91271,10406396,domain1,domain1,extset_2025_task1
91271,10421122,domain1,domain1,extset_2025_task1
91271,10427523,domain1,domain1,extset_2025_task1
91271,10437599,domain1,non-domain1,extset_2025_task1
91271,10489707,domain1,non-domain1,extset_2025_task1
91271,10552947,domain1,non-domain1,extset_2025_task1
91271,10565246,domain1,non-domain1,extset_2025_task1
91271,10572722,domain1,non-domain1,extset_2025_task1
91271,10578973,domain1,domain1,extset_2025_task1
91271,10601918,domain1,domain1,extset_2025_task1
91271,10602929,domain1,domain1,extset_2025_task1
91271,10603919,domain1,domain1,extset_2025_task1
91271,10604555,domain1,domain1,extset_2025_task1
91271,10605875,domain1,domain1,extset_2025_task1
91271,10607266,domain1,domain1,extset_2025_task1
91271,10609947,domain1,domain1,extset_2025_task1
91271,10610003,domain1,non-domain1,extset_2025_task1
91271,10614439,domain1,non-domain1,extset_2025_task1
91271,10616347,domain1,non-domain1,extset_2025_task1
92494,10123559,domain1,domain1,extset_2025_task1
92494,10187180,domain1,domain1,extset_2025_task1
92494,10268689,domain1,domain1,extset_2025_task1
92494,10282558,domain1,non-domain1,extset_2025_task1
92494,10363653,domain1,domain1,extset_2025_task1
92494,10401878,domain1,domain1,extset_2025_task1
92494,10406396,domain1,domain1,extset_2025_task1
92494,10427522,domain1,domain1,extset_2025_task1
92494,10427523,domain1,domain1,extset_2025_task1
92494,10437599,domain1,domain1,extset_2025_task1
92494,10479788,domain1,non-domain1,extset_2025_task1
92494,10489707,domain1,domain1,extset_2025_task1
92494,10509395,domain1,domain1,extset_2025_task1
92494,10518592,domain1,domain1,extset_2025_task1
92494,10525327,domain1,domain1,extset_2025_task1
92494,10565246,domain1,domain1,extset_2025_task1
92494,10572980,domain1,domain1,extset_2025_task1
92494,10578973,domain1,non-domain1,extset_2025_task1
92494,10582334,domain1,domain1,extset_2025_task1
92494,10592156,domain1,domain1,extset_2025_task1
92494,10601918,domain1,non-domain1,extset_2025_task1
92494,10605875,domain1,domain1,extset_2025_task1
92494,10607266,domain1,domain1,extset_2025_task1
92494,10609098,domain1,domain1,extset_2025_task1
92494,10612157,domain1,domain1,extset_2025_task1
92494,10614668,domain1,domain1,extset_2025_task1
90282,10123559,domain1,non-domain1,extset_2025_task1
90282,10187180,domain1,non-domain1,extset_2025_task1
90282,10191971,domain1,non-domain1,extset_2025_task1
90282,10268689,domain1,non-domain1,extset_2025_task1
90282,10282558,domain1,non-domain1,extset_2025_task1
90282,10299374,domain1,non-domain1,extset_2025_task1
90282,10363431,domain1,non-domain1,extset_2025_task1
90282,10363653,domain1,non-domain1,extset_2025_task1
90282,10382225,domain1,non-domain1,extset_2025_task1
90282,10406396,domain1,non-domain1,extset_2025_task1
90282,10427522,domain1,non-domain1,extset_2025_task1
90282,10427523,domain1,non-domain1,extset_2025_task1
90282,10437599,domain1,non-domain1,extset_2025_task1
90282,10467362,domain1,non-domain1,extset_2025_task1
90282,10479788,domain1,non-domain1,extset_2025_task1
90282,10489707,domain1,non-domain1,extset_2025_task1
90282,10509395,domain1,non-domain1,extset_2025_task1
90282,10554066,domain1,non-domain1,extset_2025_task1
90282,10565246,domain1,non-domain1,extset_2025_task1
90282,10572722,domain1,non-domain1,extset_2025_task1
90282,10578973,domain1,non-domain1,extset_2025_task1
90282,10582334,domain1,non-domain1,extset_2025_task1
90282,10592156,domain1,non-domain1,extset_2025_task1
90282,10601918,domain1,non-domain1,extset_2025_task1
90282,10602929,domain1,non-domain1,extset_2025_task1
90282,10602990,domain1,non-domain1,extset_2025_task1
90282,10603919,domain1,non-domain1,extset_2025_task1
90282,10604272,domain1,non-domain1,extset_2025_task1
90282,10605875,domain1,non-domain1,extset_2025_task1
90282,10608951,domain1,domain1,extset_2025_task1
90282,10609947,domain1,non-domain1,extset_2025_task1
90282,10610308,domain1,non-domain1,extset_2025_task1
90282,10610357,domain1,non-domain1,extset_2025_task1
90282,10619089,domain1,non-domain1,extset_2025_task1
92038,10123559,domain1,non-domain1,extset_2025_task1
92038,10187180,domain1,non-domain1,extset_2025_task1
92038,10191971,domain1,non-domain1,extset_2025_task1
92038,10282558,domain1,non-domain1,extset_2025_task1
92038,10295478,domain1,non-domain1,extset_2025_task1
92038,10363431,domain1,non-domain1,extset_2025_task1
92038,10363653,domain1,non-domain1,extset_2025_task1
92038,10376803,domain1,non-domain1,extset_2025_task1
92038,10382225,domain1,non-domain1,extset_2025_task1
92038,10401878,domain1,non-domain1,extset_2025_task1
92038,10406396,domain1,non-domain1,extset_2025_task1
92038,10410661,domain1,non-domain1,extset_2025_task1
92038,10421122,domain1,non-domain1,extset_2025_task1
92038,10427522,domain1,non-domain1,extset_2025_task1
92038,10427523,domain1,non-domain1,extset_2025_task1
92038,10437599,domain1,non-domain1,extset_2025_task1
92038,10479788,domain1,non-domain1,extset_2025_task1
92038,10489707,domain1,non-domain1,extset_2025_task1
92038,10508965,domain1,non-domain1,extset_2025_task1
92038,10509395,domain1,non-domain1,extset_2025_task1
92038,10528824,domain1,non-domain1,extset_2025_task1
92038,10565246,domain1,non-domain1,extset_2025_task1
92038,10569668,domain1,non-domain1,extset_2025_task1
92038,10572980,domain1,non-domain1,extset_2025_task1
92038,10578973,domain1,non-domain1,extset_2025_task1
92038,10582334,domain1,non-domain1,extset_2025_task1
92038,10594391,domain1,non-domain1,extset_2025_task1
92038,10601918,domain1,non-domain1,extset_2025_task1
92038,10602990,domain1,non-domain1,extset_2025_task1
92038,10603919,domain1,non-domain1,extset_2025_task1
92038,10604555,domain1,non-domain1,extset_2025_task1
92038,10605360,domain1,non-domain1,extset_2025_task1
92038,10605875,domain1,domain1,extset_2025_task1
92038,10614439,domain1,non-domain1,extset_2025_task1
89712,10043096,domain1,non-domain1,extset_2025_task1
89712,10075969,domain1,non-domain1,extset_2025_task1
89712,10123559,domain1,non-domain1,extset_2025_task1
89712,10187180,domain1,non-domain1,extset_2025_task1
89712,10235741,domain1,non-domain1,extset_2025_task1
89712,10268686,domain1,non-domain1,extset_2025_task1
89712,10268689,domain1,non-domain1,extset_2025_task1
89712,10282558,domain1,non-domain1,extset_2025_task1
89712,10299374,domain1,non-domain1,extset_2025_task1
89712,10327093,domain1,non-domain1,extset_2025_task1
89712,10339408,domain1,non-domain1,extset_2025_task1
89712,10358060,domain1,non-domain1,extset_2025_task1
89712,10363431,domain1,non-domain1,extset_2025_task1
89712,10363653,domain1,non-domain1,extset_2025_task1
89712,10364505,domain1,non-domain1,extset_2025_task1
89712,10367171,domain1,non-domain1,extset_2025_task1
89712,10376803,domain1,non-domain1,extset_2025_task1
89712,10381562,domain1,non-domain1,extset_2025_task1
89712,10382225,domain1,non-domain1,extset_2025_task1
89712,10388028,domain1,non-domain1,extset_2025_task1
89712,10389808,domain1,non-domain1,extset_2025_task1
89712,10393526,domain1,non-domain1,extset_2025_task1
89712,10401878,domain1,non-domain1,extset_2025_task1
89712,10406396,domain1,non-domain1,extset_2025_task1
89712,10407905,domain1,non-domain1,extset_2025_task1
89712,10410661,domain1,non-domain1,extset_2025_task1
89712,10421122,domain1,non-domain1,extset_2025_task1
89712,10427522,domain1,non-domain1,extset_2025_task1
89712,10427523,domain1,non-domain1,extset_2025_task1
89712,10433815,domain1,non-domain1,extset_2025_task1
89712,10437599,domain1,non-domain1,extset_2025_task1
89712,10467362,domain1,non-domain1,extset_2025_task1
89712,10479788,domain1,non-domain1,extset_2025_task1
89712,10488940,domain1,non-domain1,extset_2025_task1
89712,10489707,domain1,non-domain1,extset_2025_task1
89712,10501111,domain1,non-domain1,extset_2025_task1
89712,10508965,domain1,non-domain1,extset_2025_task1
89712,10509395,domain1,non-domain1,extset_2025_task1
89712,10517927,domain1,non-domain1,extset_2025_task1
89712,10518592,domain1,non-domain1,extset_2025_task1
89712,10554066,domain1,non-domain1,extset_2025_task1
89712,10565246,domain1,non-domain1,extset_2025_task1
89712,10565263,domain1,non-domain1,extset_2025_task1
89712,10566370,domain1,non-domain1,extset_2025_task1
89712,10568295,domain1,non-domain1,extset_2025_task1
89712,10569668,domain1,non-domain1,extset_2025_task1
89712,10572722,domain1,non-domain1,extset_2025_task1
89712,10572980,domain1,non-domain1,extset_2025_task1
89712,10578973,domain1,non-domain1,extset_2025_task1
89712,10582334,domain1,domain1,extset_2025_task1
89712,10592156,domain1,non-domain1,extset_2025_task1
89712,10596802,domain1,non-domain1,extset_2025_task1
89712,10600349,domain1,non-domain1,extset_2025_task1
89712,10601918,domain1,non-domain1,extset_2025_task1
89712,10602990,domain1,non-domain1,extset_2025_task1
89712,10603919,domain1,non-domain1,extset_2025_task1
89712,10604555,domain1,non-domain1,extset_2025_task1
89712,10605833,domain1,non-domain1,extset_2025_task1
89712,10605875,domain1,non-domain1,extset_2025_task1
89712,10607266,domain1,non-domain1,extset_2025_task1
89712,10607669,domain1,non-domain1,extset_2025_task1
