mode,tier,candidate,task_idx,delta,questions
random,expert,5,2,0.1,-1
random,expert,5,2,0.12,203
random,expert,5,2,0.15,203
random,expert,5,3,0.1,-1
random,expert,5,3,0.12,-1
random,expert,5,3,0.15,182
random,expert,5,4,0.1,-1
random,expert,5,4,0.12,-1
random,expert,5,4,0.15,-1
random,expert,5,5,0.1,-1
random,expert,5,5,0.12,230
random,expert,5,5,0.15,89
random,expert,6,0,0.1,85
random,expert,6,0,0.12,49
random,expert,6,0,0.15,24
random,expert,6,1,0.1,108
random,expert,6,1,0.12,77
random,expert,6,1,0.15,45
random,expert,6,2,0.1,-1
random,expert,6,2,0.12,240
random,expert,6,2,0.15,94
random,expert,6,3,0.1,189
random,expert,6,3,0.12,152
random,expert,6,3,0.15,51
random,expert,6,4,0.1,-1
random,expert,6,4,0.12,-1
random,expert,6,4,0.15,-1
random,expert,6,5,0.1,-1
random,expert,6,5,0.12,157
random,expert,6,5,0.15,95
random,expert,7,0,0.1,114
random,expert,7,0,0.12,57
random,expert,7,0,0.15,42
random,expert,7,1,0.1,127
random,expert,7,1,0.12,78
random,expert,7,1,0.15,38
random,expert,7,2,0.1,138
random,expert,7,2,0.12,84
random,expert,7,2,0.15,34
random,expert,7,3,0.1,-1
random,expert,7,3,0.12,-1
random,expert,7,3,0.15,92
random,expert,7,4,0.1,-1
random,expert,7,4,0.12,-1
random,expert,7,4,0.15,178
random,expert,7,5,0.1,-1
random,expert,7,5,0.12,-1
random,expert,7,5,0.15,-1
random,expert,8,0,0.1,67
random,expert,8,0,0.12,42
random,expert,8,0,0.15,28
random,expert,8,1,0.1,171
random,expert,8,1,0.12,120
random,expert,8,1,0.15,96
random,expert,8,2,0.1,175
random,expert,8,2,0.12,134
random,expert,8,2,0.15,110
random,expert,8,3,0.1,-1
random,expert,8,3,0.12,144
random,expert,8,3,0.15,144
random,expert,8,4,0.1,-1
random,expert,8,4,0.12,-1
random,expert,8,4,0.15,220
random,expert,8,5,0.1,140
random,expert,8,5,0.12,119
random,expert,8,5,0.15,37
random,expert,9,0,0.1,131
random,expert,9,0,0.12,87
random,expert,9,0,0.15,59
random,expert,9,1,0.1,123
random,expert,9,1,0.12,101
random,expert,9,1,0.15,49
random,expert,9,2,0.1,203
random,expert,9,2,0.12,107
random,expert,9,2,0.15,60
random,expert,9,3,0.1,-1
random,expert,9,3,0.12,-1
random,expert,9,3,0.15,90
random,expert,9,4,0.1,-1
random,expert,9,4,0.12,-1
random,expert,9,4,0.15,-1
random,expert,9,5,0.1,-1
random,expert,9,5,0.12,-1
random,expert,9,5,0.15,133
random,expert,10,0,0.1,113
random,expert,10,0,0.12,72
random,expert,10,0,0.15,34
random,expert,10,1,0.1,66
random,expert,10,1,0.12,45
random,expert,10,1,0.15,29
random,expert,10,2,0.1,-1
random,expert,10,2,0.12,212
random,expert,10,2,0.15,118
random,expert,10,3,0.1,135
random,expert,10,3,0.12,135
random,expert,10,3,0.15,22
random,expert,10,4,0.1,-1
random,expert,10,4,0.12,117
random,expert,10,4,0.15,77
random,expert,10,5,0.1,-1
random,expert,10,5,0.12,232
random,expert,10,5,0.15,116
random,expert,11,0,0.1,148
random,expert,11,0,0.12,81
random,expert,11,0,0.15,41
random,expert,11,1,0.1,252
random,expert,11,1,0.12,204
random,expert,11,1,0.15,137
random,expert,11,2,0.1,122
random,expert,11,2,0.12,65
random,expert,11,2,0.15,24
random,expert,11,3,0.1,-1
random,expert,11,3,0.12,-1
random,expert,11,3,0.15,134
random,expert,11,4,0.1,-1
random,expert,11,4,0.12,-1
random,expert,11,4,0.15,75
random,expert,11,5,0.1,-1
random,expert,11,5,0.12,-1
random,expert,11,5,0.15,186
random,expert,12,0,0.1,72
random,expert,12,0,0.12,45
random,expert,12,0,0.15,19
random,expert,12,1,0.1,79
random,expert,12,1,0.12,63
random,expert,12,1,0.15,51
random,expert,12,2,0.1,-1
random,expert,12,2,0.12,297
random,expert,12,2,0.15,177
random,expert,12,3,0.1,-1
random,expert,12,3,0.12,284
random,expert,12,3,0.15,115
random,expert,12,4,0.1,-1
random,expert,12,4,0.12,-1
random,expert,12,4,0.15,-1
random,expert,12,5,0.1,-1
random,expert,12,5,0.12,-1
random,expert,12,5,0.15,-1
random,expert,13,0,0.1,83
random,expert,13,0,0.12,51
random,expert,13,0,0.15,19
random,expert,13,1,0.1,130
random,expert,13,1,0.12,81
random,expert,13,1,0.15,30
random,expert,13,2,0.1,-1
random,expert,13,2,0.12,-1
random,expert,13,2,0.15,179
random,expert,13,3,0.1,-1
random,expert,13,3,0.12,215
random,expert,13,3,0.15,123
random,expert,13,4,0.1,-1
random,expert,13,4,0.12,-1
random,expert,13,4,0.15,-1
random,expert,13,5,0.1,-1
random,expert,13,5,0.12,118
random,expert,13,5,0.15,118
random,expert,14,0,0.1,100
random,expert,14,0,0.12,60
random,expert,14,0,0.15,50
random,expert,14,1,0.1,129
random,expert,14,1,0.12,74
random,expert,14,1,0.15,28
random,expert,14,2,0.1,-1
random,expert,14,2,0.12,191
random,expert,14,2,0.15,105
random,expert,14,3,0.1,-1
random,expert,14,3,0.12,-1
random,expert,14,3,0.15,55
random,expert,14,4,0.1,-1
random,expert,14,4,0.12,-1
random,expert,14,4,0.15,296
random,expert,14,5,0.1,-1
random,expert,14,5,0.12,-1
random,expert,14,5,0.15,-1
random,experienced,0,0,0.1,83
random,experienced,0,0,0.12,56
random,experienced,0,0,0.15,22
random,experienced,0,1,0.1,195
random,experienced,0,1,0.12,139
random,experienced,0,1,0.15,97
random,experienced,0,2,0.1,284
random,experienced,0,2,0.12,256
random,experienced,0,2,0.15,51
random,experienced,0,3,0.1,-1
random,experienced,0,3,0.12,-1
random,experienced,0,3,0.15,231
random,experienced,0,4,0.1,-1
random,experienced,0,4,0.12,-1
random,experienced,0,4,0.15,201
random,experienced,0,5,0.1,-1
random,experienced,0,5,0.12,-1
random,experienced,0,5,0.15,194
random,experienced,1,0,0.1,109
random,experienced,1,0,0.12,71
random,experienced,1,0,0.15,46
random,experienced,1,1,0.1,113
random,experienced,1,1,0.12,64
random,experienced,1,1,0.15,48
random,experienced,1,2,0.1,268
random,experienced,1,2,0.12,182
random,experienced,1,2,0.15,112
random,experienced,1,3,0.1,-1
random,experienced,1,3,0.12,130
random,experienced,1,3,0.15,36
random,experienced,1,4,0.1,-1
random,experienced,1,4,0.12,-1
random,experienced,1,4,0.15,-1
random,experienced,1,5,0.1,254
random,experienced,1,5,0.12,89
random,experienced,1,5,0.15,27
random,experienced,2,0,0.1,87
random,experienced,2,0,0.12,51
random,experienced,2,0,0.15,25
random,experienced,2,1,0.1,69
random,experienced,2,1,0.12,53
random,experienced,2,1,0.15,27
random,experienced,2,2,0.1,-1
random,experienced,2,2,0.12,213
random,experienced,2,2,0.15,161
random,experienced,2,3,0.1,112
random,experienced,2,3,0.12,43
random,experienced,2,3,0.15,19
random,experienced,2,4,0.1,-1
random,experienced,2,4,0.12,196
random,experienced,2,4,0.15,111
random,experienced,2,5,0.1,-1
random,experienced,2,5,0.12,-1
random,experienced,2,5,0.15,150
random,experienced,3,0,0.1,102
random,experienced,3,0,0.12,67
random,experienced,3,0,0.15,47
random,experienced,3,1,0.1,73
random,experienced,3,1,0.12,48
random,experienced,3,1,0.15,30
random,experienced,3,2,0.1,-1
random,experienced,3,2,0.12,278
random,experienced,3,2,0.15,139
random,experienced,3,3,0.1,-1
random,experienced,3,3,0.12,-1
random,experienced,3,3,0.15,41
random,experienced,3,4,0.1,-1
random,experienced,3,4,0.12,218
random,experienced,3,4,0.15,147
random,experienced,3,5,0.1,-1
random,experienced,3,5,0.12,-1
random,experienced,3,5,0.15,113
random,experienced,4,0,0.1,125
random,experienced,4,0,0.12,90
random,experienced,4,0,0.15,39
random,experienced,4,1,0.1,61
random,experienced,4,1,0.12,40
random,experienced,4,1,0.15,24
random,experienced,4,2,0.1,-1
random,experienced,4,2,0.12,280
random,experienced,4,2,0.15,127
random,experienced,4,3,0.1,-1
random,experienced,4,3,0.12,-1
random,experienced,4,3,0.15,-1
random,experienced,4,4,0.1,-1
random,experienced,4,4,0.12,-1
random,experienced,4,4,0.15,261
random,experienced,4,5,0.1,264
random,experienced,4,5,0.12,152
random,experienced,4,5,0.15,105
random,experienced,5,0,0.1,101
random,experienced,5,0,0.12,61
random,experienced,5,0,0.15,34
random,experienced,5,1,0.1,119
random,experienced,5,1,0.12,76
random,experienced,5,1,0.15,39
random,experienced,5,2,0.1,199
random,experienced,5,2,0.12,194
random,experienced,5,2,0.15,117
random,experienced,5,3,0.1,211
random,experienced,5,3,0.12,173
random,experienced,5,3,0.15,28
random,experienced,5,4,0.1,-1
random,experienced,5,4,0.12,-1
random,experienced,5,4,0.15,46
random,experienced,5,5,0.1,296
random,experienced,5,5,0.12,280
random,experienced,5,5,0.15,68
random,experienced,6,0,0.1,135
random,experienced,6,0,0.12,89
random,experienced,6,0,0.15,62
random,experienced,6,1,0.1,222
random,experienced,6,1,0.12,120
random,experienced,6,1,0.15,53
random,experienced,6,2,0.1,300
random,experienced,6,2,0.12,207
random,experienced,6,2,0.15,19
random,experienced,6,3,0.1,236
random,experienced,6,3,0.12,93
random,experienced,6,3,0.15,29
random,experienced,6,4,0.1,229
random,experienced,6,4,0.12,159
random,experienced,6,4,0.15,38
random,experienced,6,5,0.1,-1
random,experienced,6,5,0.12,-1
random,experienced,6,5,0.15,282
random,experienced,7,0,0.1,219
random,experienced,7,0,0.12,203
random,experienced,7,0,0.15,139
random,experienced,7,1,0.1,-1
random,experienced,7,1,0.12,-1
random,experienced,7,1,0.15,118
random,experienced,7,2,0.1,-1
random,experienced,7,2,0.12,-1
random,experienced,7,2,0.15,113
random,experienced,7,3,0.1,-1
random,experienced,7,3,0.12,-1
random,experienced,7,3,0.15,92
random,experienced,7,4,0.1,-1
random,experienced,7,4,0.12,-1
random,experienced,7,4,0.15,78
random,experienced,7,5,0.1,-1
random,experienced,7,5,0.12,-1
random,experienced,7,5,0.15,96
random,experienced,8,0,0.1,101
random,experienced,8,0,0.12,51
random,experienced,8,0,0.15,25
random,experienced,8,1,0.1,92
random,experienced,8,1,0.12,33
random,experienced,8,1,0.15,19
random,experienced,8,2,0.1,165
random,experienced,8,2,0.12,97
random,experienced,8,2,0.15,60
random,experienced,8,3,0.1,-1
random,experienced,8,3,0.12,-1
random,experienced,8,3,0.15,211
random,experienced,8,4,0.1,-1
random,experienced,8,4,0.12,-1
random,experienced,8,4,0.15,260
random,experienced,8,5,0.1,-1
random,experienced,8,5,0.12,-1
random,experienced,8,5,0.15,195
random,experienced,9,0,0.1,100
random,experienced,9,0,0.12,67
random,experienced,9,0,0.15,37
random,experienced,9,1,0.1,129
random,experienced,9,1,0.12,73
random,experienced,9,1,0.15,73
random,experienced,9,2,0.1,-1
random,experienced,9,2,0.12,-1
random,experienced,9,2,0.15,-1
random,experienced,9,3,0.1,92
random,experienced,9,3,0.12,85
random,experienced,9,3,0.15,18
random,experienced,9,4,0.1,-1
random,experienced,9,4,0.12,210
random,experienced,9,4,0.15,103
random,experienced,9,5,0.1,-1
random,experienced,9,5,0.12,-1
random,experienced,9,5,0.15,115
random,experienced,10,0,0.1,83
random,experienced,10,0,0.12,56
random,experienced,10,0,0.15,23
random,experienced,10,1,0.1,73
random,experienced,10,1,0.12,49
random,experienced,10,1,0.15,30
random,experienced,10,2,0.1,-1
random,experienced,10,2,0.12,204
random,experienced,10,2,0.15,84
random,experienced,10,3,0.1,-1
random,experienced,10,3,0.12,-1
random,experienced,10,3,0.15,80
random,experienced,10,4,0.1,-1
random,experienced,10,4,0.12,-1
random,experienced,10,4,0.15,-1
random,experienced,10,5,0.1,-1
random,experienced,10,5,0.12,244
random,experienced,10,5,0.15,195
random,experienced,11,0,0.1,58
random,experienced,11,0,0.12,33
random,experienced,11,0,0.15,15
random,experienced,11,1,0.1,178
random,experienced,11,1,0.12,128
random,experienced,11,1,0.15,80
random,experienced,11,2,0.1,237
random,experienced,11,2,0.12,202
random,experienced,11,2,0.15,106
random,experienced,11,3,0.1,248
random,experienced,11,3,0.12,213
random,experienced,11,3,0.15,132
random,experienced,11,4,0.1,-1
random,experienced,11,4,0.12,-1
random,experienced,11,4,0.15,27
random,experienced,11,5,0.1,-1
random,experienced,11,5,0.12,285
random,experienced,11,5,0.15,180
random,experienced,12,0,0.1,104
random,experienced,12,0,0.12,86
random,experienced,12,0,0.15,40
random,experienced,12,1,0.1,133
random,experienced,12,1,0.12,63
random,experienced,12,1,0.15,19
random,experienced,12,2,0.1,-1
random,experienced,12,2,0.12,-1
random,experienced,12,2,0.15,102
random,experienced,12,3,0.1,-1
random,experienced,12,3,0.12,280
random,experienced,12,3,0.15,171
random,experienced,12,4,0.1,-1
random,experienced,12,4,0.12,-1
random,experienced,12,4,0.15,281
random,experienced,12,5,0.1,-1
random,experienced,12,5,0.12,116
random,experienced,12,5,0.15,27
random,experienced,13,0,0.1,89
random,experienced,13,0,0.12,63
random,experienced,13,0,0.15,53
random,experienced,13,1,0.1,102
random,experienced,13,1,0.12,78
random,experienced,13,1,0.15,44
random,experienced,13,2,0.1,297
random,experienced,13,2,0.12,123
random,experienced,13,2,0.15,85
random,experienced,13,3,0.1,222
random,experienced,13,3,0.12,104
random,experienced,13,3,0.15,84
random,experienced,13,4,0.1,-1
random,experienced,13,4,0.12,-1
random,experienced,13,4,0.15,279
random,experienced,13,5,0.1,-1
random,experienced,13,5,0.12,300
random,experienced,13,5,0.15,156
random,experienced,14,0,0.1,89
random,experienced,14,0,0.12,55
random,experienced,14,0,0.15,37
random,experienced,14,1,0.1,206
random,experienced,14,1,0.12,179
random,experienced,14,1,0.15,76
random,experienced,14,2,0.1,-1
random,experienced,14,2,0.12,-1
random,experienced,14,2,0.15,88
random,experienced,14,3,0.1,-1
random,experienced,14,3,0.12,-1
random,experienced,14,3,0.15,-1
random,experienced,14,4,0.1,-1
random,experienced,14,4,0.12,-1
random,experienced,14,4,0.15,75
random,experienced,14,5,0.1,131
random,experienced,14,5,0.12,73
random,experienced,14,5,0.15,28
random,novice,0,0,0.1,-1
random,novice,0,0,0.12,229
random,novice,0,0,0.15,54
random,novice,0,1,0.1,-1
random,novice,0,1,0.12,-1
random,novice,0,1,0.15,-1
random,novice,0,2,0.1,-1
random,novice,0,2,0.12,-1
random,novice,0,2,0.15,-1
random,novice,0,3,0.1,219
random,novice,0,3,0.12,125
random,novice,0,3,0.15,36
random,novice,0,4,0.1,203
random,novice,0,4,0.12,94
random,novice,0,4,0.15,38
random,novice,0,5,0.1,-1
random,novice,0,5,0.12,187
random,novice,0,5,0.15,130
random,novice,1,0,0.1,-1
random,novice,1,0,0.12,227
random,novice,1,0,0.15,46
random,novice,1,1,0.1,-1
random,novice,1,1,0.12,-1
random,novice,1,1,0.15,-1
random,novice,1,2,0.1,-1
random,novice,1,2,0.12,-1
random,novice,1,2,0.15,-1
random,novice,1,3,0.1,187
random,novice,1,3,0.12,118
random,novice,1,3,0.15,32
random,novice,1,4,0.1,208
random,novice,1,4,0.12,126
random,novice,1,4,0.15,20
random,novice,1,5,0.1,-1
random,novice,1,5,0.12,-1
random,novice,1,5,0.15,-1
random,novice,2,0,0.1,-1
random,novice,2,0,0.12,-1
random,novice,2,0,0.15,-1
random,novice,2,1,0.1,234
random,novice,2,1,0.12,148
random,novice,2,1,0.15,85
random,novice,2,2,0.1,-1
random,novice,2,2,0.12,139
random,novice,2,2,0.15,86
random,novice,2,3,0.1,260
random,novice,2,3,0.12,177
random,novice,2,3,0.15,39
random,novice,2,4,0.1,-1
random,novice,2,4,0.12,-1
random,novice,2,4,0.15,145
random,novice,2,5,0.1,-1
random,novice,2,5,0.12,-1
random,novice,2,5,0.15,-1
random,novice,3,0,0.1,268
random,novice,3,0,0.12,237
random,novice,3,0,0.15,155
random,novice,3,1,0.1,-1
random,novice,3,1,0.12,-1
random,novice,3,1,0.15,246
random,novice,3,2,0.1,258
random,novice,3,2,0.12,166
random,novice,3,2,0.15,36
random,novice,3,3,0.1,-1
random,novice,3,3,0.12,-1
random,novice,3,3,0.15,-1
random,novice,3,4,0.1,-1
random,novice,3,4,0.12,-1
random,novice,3,4,0.15,32
random,novice,3,5,0.1,197
random,novice,3,5,0.12,147
random,novice,3,5,0.15,33
random,novice,4,0,0.1,114
random,novice,4,0,0.12,63
random,novice,4,0,0.15,31
random,novice,4,1,0.1,222
random,novice,4,1,0.12,193
random,novice,4,1,0.15,104
random,novice,4,2,0.1,216
random,novice,4,2,0.12,128
random,novice,4,2,0.15,52
random,novice,4,3,0.1,274
random,novice,4,3,0.12,95
random,novice,4,3,0.15,38
random,novice,4,4,0.1,235
random,novice,4,4,0.12,109
random,novice,4,4,0.15,39
random,novice,4,5,0.1,-1
random,novice,4,5,0.12,-1
random,novice,4,5,0.15,-1
random,novice,5,0,0.1,-1
random,novice,5,0,0.12,188
random,novice,5,0,0.15,78
random,novice,5,1,0.1,-1
random,novice,5,1,0.12,224
random,novice,5,1,0.15,122
random,novice,5,2,0.1,217
random,novice,5,2,0.12,112
random,novice,5,2,0.15,34
random,novice,5,3,0.1,-1
random,novice,5,3,0.12,-1
random,novice,5,3,0.15,-1
random,novice,5,4,0.1,281
random,novice,5,4,0.12,166
random,novice,5,4,0.15,57
random,novice,5,5,0.1,-1
random,novice,5,5,0.12,169
random,novice,5,5,0.15,86
random,novice,6,0,0.1,-1
random,novice,6,0,0.12,237
random,novice,6,0,0.15,148
random,novice,6,1,0.1,-1
random,novice,6,1,0.12,-1
random,novice,6,1,0.15,-1
random,novice,6,2,0.1,-1
random,novice,6,2,0.12,166
random,novice,6,2,0.15,54
random,novice,6,3,0.1,-1
random,novice,6,3,0.12,-1
random,novice,6,3,0.15,-1
random,novice,6,4,0.1,-1
random,novice,6,4,0.12,93
random,novice,6,4,0.15,37
random,novice,6,5,0.1,270
random,novice,6,5,0.12,147
random,novice,6,5,0.15,35
random,novice,7,0,0.1,205
random,novice,7,0,0.12,127
random,novice,7,0,0.15,71
random,novice,7,1,0.1,-1
random,novice,7,1,0.12,206
random,novice,7,1,0.15,93
random,novice,7,2,0.1,-1
random,novice,7,2,0.12,130
random,novice,7,2,0.15,59
random,novice,7,3,0.1,269
random,novice,7,3,0.12,138
random,novice,7,3,0.15,35
random,novice,7,4,0.1,-1
random,novice,7,4,0.12,203
random,novice,7,4,0.15,107
random,novice,7,5,0.1,-1
random,novice,7,5,0.12,287
random,novice,7,5,0.15,199
random,novice,8,0,0.1,209
random,novice,8,0,0.12,152
random,novice,8,0,0.15,91
random,novice,8,1,0.1,-1
random,novice,8,1,0.12,-1
random,novice,8,1,0.15,165
random,novice,8,2,0.1,243
random,novice,8,2,0.12,118
random,novice,8,2,0.15,32
random,novice,8,3,0.1,158
random,novice,8,3,0.12,73
random,novice,8,3,0.15,28
random,novice,8,4,0.1,-1
random,novice,8,4,0.12,-1
random,novice,8,4,0.15,295
random,novice,8,5,0.1,-1
random,novice,8,5,0.12,217
random,novice,8,5,0.15,157
random,novice,9,0,0.1,166
random,novice,9,0,0.12,110
random,novice,9,0,0.15,62
random,novice,9,1,0.1,-1
random,novice,9,1,0.12,199
random,novice,9,1,0.15,100
random,novice,9,2,0.1,222
random,novice,9,2,0.12,133
random,novice,9,2,0.15,64
random,novice,9,3,0.1,150
random,novice,9,3,0.12,72
random,novice,9,3,0.15,20
random,novice,9,4,0.1,-1
random,novice,9,4,0.12,277
random,novice,9,4,0.15,217
random,novice,9,5,0.1,-1
random,novice,9,5,0.12,-1
random,novice,9,5,0.15,-1
random,novice,10,0,0.1,121
random,novice,10,0,0.12,68
random,novice,10,0,0.15,36
random,novice,10,1,0.1,-1
random,novice,10,1,0.12,-1
random,novice,10,1,0.15,262
random,novice,10,2,0.1,272
random,novice,10,2,0.12,164
random,novice,10,2,0.15,96
random,novice,10,3,0.1,132
random,novice,10,3,0.12,75
random,novice,10,3,0.15,42
random,novice,10,4,0.1,-1
random,novice,10,4,0.12,-1
random,novice,10,4,0.15,41
random,novice,10,5,0.1,-1
random,novice,10,5,0.12,-1
random,novice,10,5,0.15,-1
random,novice,11,0,0.1,203
random,novice,11,0,0.12,139
random,novice,11,0,0.15,102
random,novice,11,1,0.1,285
random,novice,11,1,0.12,183
random,novice,11,1,0.15,72
random,novice,11,2,0.1,-1
random,novice,11,2,0.12,-1
random,novice,11,2,0.15,-1
random,novice,11,3,0.1,-1
random,novice,11,3,0.12,-1
random,novice,11,3,0.15,69
random,novice,11,4,0.1,250
random,novice,11,4,0.12,138
random,novice,11,4,0.15,58
random,novice,11,5,0.1,171
random,novice,11,5,0.12,126
random,novice,11,5,0.15,69
random,novice,12,0,0.1,-1
random,novice,12,0,0.12,238
random,novice,12,0,0.15,175
random,novice,12,1,0.1,-1
random,novice,12,1,0.12,249
random,novice,12,1,0.15,85
random,novice,12,2,0.1,183
random,novice,12,2,0.12,89
random,novice,12,2,0.15,29
random,novice,12,3,0.1,-1
random,novice,12,3,0.12,140
random,novice,12,3,0.15,20
random,novice,12,4,0.1,-1
random,novice,12,4,0.12,164
random,novice,12,4,0.15,35
random,novice,12,5,0.1,-1
random,novice,12,5,0.12,-1
random,novice,12,5,0.15,-1
random,novice,13,0,0.1,265
random,novice,13,0,0.12,159
random,novice,13,0,0.15,88
random,novice,13,1,0.1,182
random,novice,13,1,0.12,152
random,novice,13,1,0.15,131
random,novice,13,2,0.1,150
random,novice,13,2,0.12,108
random,novice,13,2,0.15,44
random,novice,13,3,0.1,-1
random,novice,13,3,0.12,-1
random,novice,13,3,0.15,92
random,novice,13,4,0.1,-1
random,novice,13,4,0.12,-1
random,novice,13,4,0.15,254
random,novice,13,5,0.1,-1
random,novice,13,5,0.12,174
random,novice,13,5,0.15,30
random,novice,14,0,0.1,119
random,novice,14,0,0.12,72
random,novice,14,0,0.15,47
random,novice,14,1,0.1,-1
random,novice,14,1,0.12,-1
random,novice,14,1,0.15,236
random,novice,14,2,0.1,180
random,novice,14,2,0.12,130
random,novice,14,2,0.15,66
random,novice,14,3,0.1,-1
random,novice,14,3,0.12,-1
random,novice,14,3,0.15,29
random,novice,14,4,0.1,-1
random,novice,14,4,0.12,-1
random,novice,14,4,0.15,-1
random,novice,14,5,0.1,147
random,novice,14,5,0.12,89
random,novice,14,5,0.15,24
independent,expert,0,0,0.1,70
independent,expert,0,0,0.12,39
independent,expert,0,0,0.15,24
independent,expert,0,1,0.1,60
independent,expert,0,1,0.12,45
independent,expert,0,1,0.15,22
independent,expert,0,2,0.1,63
independent,expert,0,2,0.12,41
independent,expert,0,2,0.15,33
independent,expert,0,3,0.1,88
independent,expert,0,3,0.12,55
independent,expert,0,3,0.15,30
independent,expert,0,4,0.1,83
independent,expert,0,4,0.12,48
independent,expert,0,4,0.15,35
independent,expert,0,5,0.1,92
independent,expert,0,5,0.12,67
independent,expert,0,5,0.15,26
independent,expert,1,0,0.1,66
independent,expert,1,0,0.12,62
independent,expert,1,0,0.15,22
independent,expert,1,1,0.1,61
independent,expert,1,1,0.12,32
independent,expert,1,1,0.15,20
independent,expert,1,2,0.1,50
independent,expert,1,2,0.12,43
independent,expert,1,2,0.15,24
independent,expert,1,3,0.1,80
independent,expert,1,3,0.12,58
independent,expert,1,3,0.15,30
independent,expert,1,4,0.1,72
independent,expert,1,4,0.12,45
independent,expert,1,4,0.15,36
independent,expert,1,5,0.1,73
independent,expert,1,5,0.12,46
independent,expert,1,5,0.15,25
independent,expert,2,0,0.1,54
independent,expert,2,0,0.12,38
independent,expert,2,0,0.15,33
independent,expert,2,1,0.1,71
independent,expert,2,1,0.12,58
independent,expert,2,1,0.15,22
independent,expert,2,2,0.1,65
independent,expert,2,2,0.12,57
independent,expert,2,2,0.15,30
independent,expert,2,3,0.1,85
independent,expert,2,3,0.12,55
independent,expert,2,3,0.15,32
independent,expert,2,4,0.1,110
independent,expert,2,4,0.12,47
independent,expert,2,4,0.15,25
independent,expert,2,5,0.1,116
independent,expert,2,5,0.12,50
independent,expert,2,5,0.15,26
independent,expert,3,0,0.1,61
independent,expert,3,0,0.12,39
independent,expert,3,0,0.15,33
independent,expert,3,1,0.1,64
independent,expert,3,1,0.12,48
independent,expert,3,1,0.15,20
independent,expert,3,2,0.1,70
independent,expert,3,2,0.12,50
independent,expert,3,2,0.15,31
independent,expert,3,3,0.1,122
independent,expert,3,3,0.12,54
independent,expert,3,3,0.15,30
independent,expert,3,4,0.1,88
independent,expert,3,4,0.12,66
independent,expert,3,4,0.15,24
independent,expert,3,5,0.1,85
independent,expert,3,5,0.12,43
independent,expert,3,5,0.15,25
independent,expert,4,0,0.1,74
independent,expert,4,0,0.12,36
independent,expert,4,0,0.15,31
independent,expert,4,1,0.1,98
independent,expert,4,1,0.12,42
independent,expert,4,1,0.15,21
independent,expert,4,2,0.1,63
